Theory Testing  k=2 n=10 sims=200 m=1
    i,Ctheo,CtheoA, Cact,nTtheo, nTact,Pdtheo, Pdact,C0act,T0act,C1act,T1act,C2act,T2act
    0, 0.00,  0.00, 0.00,  0.00,  0.00,  0.00,  0.00, 0.00,    0, 0.00,    0, 0.00,    0
    1, 0.50,  0.39, 0.50,  0.50,  0.46,  0.50,  0.46, 0.50,    1, 0.50,    1, 0.50,    0
    2, 0.75,  0.63, 0.73,  1.00,  0.99,  0.75,  0.72, 1.00,    1, 0.50,    2, 1.00,    1
    3, 0.88,  0.78, 0.86,  1.50,  1.49,  0.88,  0.85, 1.00,    1, 0.50,    3, 1.00,    2
    4, 0.94,  0.86, 0.93,  2.00,  1.95,  0.94,  0.94, 1.00,    2, 0.50,    4, 1.00,    2
    5, 0.97,  0.92, 0.98,  2.50,  2.44,  0.97,  0.98, 1.00,    2, 0.50,    5, 1.00,    3
    6, 0.98,  0.95, 0.99,  3.00,  2.96,  0.98,  0.98, 1.00,    2, 1.00,    5, 1.00,    4
    7, 0.99,  0.97, 0.99,  3.50,  3.44,  0.99,  0.99, 1.00,    2, 1.00,    6, 1.00,    4
    8, 1.00,  0.98, 1.00,  4.00,  3.95,  1.00,  1.00, 1.00,    2, 1.00,    6, 1.00,    4
    9, 1.00,  0.99, 1.00,  4.50,  4.42,  1.00,  1.00, 1.00,    2, 1.00,    7, 1.00,    5
Theory Testing  k=3 n=15 sims=200 m=1
    i,Ctheo,CtheoA, Cact,nTtheo, nTact,Pdtheo, Pdact,C0act,T0act,C1act,T1act,C2act,T2act
    0, 0.00,  0.00, 0.00,  0.00,  0.00,  0.00,  0.00, 0.00,    0, 0.00,    0, 0.00,    0
    1, 0.33,  0.28, 0.33,  0.33,  0.35,  0.33,  0.35, 0.33,    0, 0.33,    0, 0.33,    1
    2, 0.56,  0.49, 0.55,  0.67,  0.64,  0.56,  0.53, 0.33,    0, 0.67,    0, 0.33,    2
    3, 0.70,  0.63, 0.70,  1.00,  1.02,  0.70,  0.71, 0.33,    0, 0.67,    0, 0.67,    2
    4, 0.80,  0.74, 0.81,  1.33,  1.30,  0.80,  0.79, 0.67,    1, 0.67,    0, 0.67,    2
    5, 0.87,  0.81, 0.87,  1.67,  1.62,  0.87,  0.85, 0.67,    2, 0.67,    0, 0.67,    3
    6, 0.91,  0.86, 0.90,  2.00,  1.95,  0.91,  0.89, 1.00,    2, 0.67,    0, 1.00,    3
    7, 0.94,  0.90, 0.95,  2.33,  2.26,  0.94,  0.94, 1.00,    3, 1.00,    1, 1.00,    3
    8, 0.96,  0.93, 0.96,  2.67,  2.56,  0.96,  0.96, 1.00,    3, 1.00,    1, 1.00,    3
    9, 0.97,  0.95, 0.97,  3.00,  2.94,  0.97,  0.97, 1.00,    3, 1.00,    2, 1.00,    3
   10, 0.98,  0.96, 0.98,  3.33,  3.27,  0.98,  0.98, 1.00,    3, 1.00,    2, 1.00,    3
