n=10000 Pdest=0.10
 p1 5/10 Pd=0.50
 p2 1/10 Pd=0.10
 p3 1/10 Pd=0.10
 p4 1/10 Pd=0.10
 p5 0/10 Pd=0.00
 p6 0/10 Pd=0.00
 p7 4/10 Pd=0.40
 p8 0/10 Pd=0.00
 p9 0/10 Pd=0.00
 p10 1/10 Pd=0.10
 p11 3/10 Pd=0.30
 p12 2/10 Pd=0.20
 p13 2/10 Pd=0.20
 p14 3/10 Pd=0.30
 p15 0/10 Pd=0.00
 p16 0/10 Pd=0.00
 p17 2/10 Pd=0.20
 p18 0/10 Pd=0.00
 p19 4/10 Pd=0.40
 p20 0/10 Pd=0.00
 Pdavg=0.14 Pdest=0.10
n=20000 Pdest=0.19
 p1 7/10 Pd=0.70
 p2 0/10 Pd=0.00
 p3 4/10 Pd=0.40
 p4 1/10 Pd=0.10
 p5 0/10 Pd=0.00
 p6 1/10 Pd=0.10
 p7 8/10 Pd=0.80
 p8 2/10 Pd=0.20
 p9 2/10 Pd=0.20
 p10 2/10 Pd=0.20
 p11 2/10 Pd=0.20
 p12 1/10 Pd=0.10
 p13 4/10 Pd=0.40
 p14 5/10 Pd=0.50
 p15 1/10 Pd=0.10
 p16 2/10 Pd=0.20
 p17 3/10 Pd=0.30
 p18 0/10 Pd=0.00
 p19 1/10 Pd=0.10
 p20 0/10 Pd=0.00
 Pdavg=0.23 Pdest=0.19
n=30000 Pdest=0.28
 p1 9/10 Pd=0.90
 p2 0/10 Pd=0.00
 p3 5/10 Pd=0.50
 p4 0/10 Pd=0.00
 p5 0/10 Pd=0.00
 p6 3/10 Pd=0.30
 p7 7/10 Pd=0.70
 p8 2/10 Pd=0.20
 p9 3/10 Pd=0.30
 p10 3/10 Pd=0.30
 p11 5/10 Pd=0.50
 p12 0/10 Pd=0.00
 p13 6/10 Pd=0.60
 p14 7/10 Pd=0.70
 p15 3/10 Pd=0.30
 p16 0/10 Pd=0.00
 p17 4/10 Pd=0.40
 p18 1/10 Pd=0.10
 p19 8/10 Pd=0.80
 p20 0/10 Pd=0.00
