n=10000 Pdest=0.10
 p1 11/30 Pd=0.37
 p2 0/30 Pd=0.00
 p3 3/30 Pd=0.10
 p4 1/30 Pd=0.03
 p5 1/30 Pd=0.03
 p6 5/30 Pd=0.17
 p7 17/30 Pd=0.57
 p8 3/30 Pd=0.10
 p9 3/30 Pd=0.10
 p10 1/30 Pd=0.03
 p11 7/30 Pd=0.23
 p12 0/30 Pd=0.00
 p13 9/30 Pd=0.30
 p14 11/30 Pd=0.37
 p15 1/30 Pd=0.03
 p16 2/30 Pd=0.07
 p17 1/30 Pd=0.03
 p18 4/30 Pd=0.13
 p19 7/30 Pd=0.23
 p20 2/30 Pd=0.07
 Pdavg=0.15 Pdest=0.10
n=20000 Pdest=0.19
 p1 18/30 Pd=0.60
 p2 2/30 Pd=0.07
 p3 9/30 Pd=0.30
 p4 0/30 Pd=0.00
 p5 1/30 Pd=0.03
 p6 7/30 Pd=0.23
 p7 21/30 Pd=0.70
 p8 0/30 Pd=0.00
 p9 2/30 Pd=0.07
 p10 2/30 Pd=0.07
 p11 8/30 Pd=0.27
 p12 4/30 Pd=0.13
 p13 11/30 Pd=0.37
 p14 19/30 Pd=0.63
 p15 8/30 Pd=0.27
 p16 3/30 Pd=0.10
 p17 8/30 Pd=0.27
 p18 3/30 Pd=0.10
 p19 8/30 Pd=0.27
 p20 1/30 Pd=0.03
 Pdavg=0.23 Pdest=0.19
n=30000 Pdest=0.28
 p1 24/30 Pd=0.80
 p2 1/30 Pd=0.03
 p3 10/30 Pd=0.33
 p4 6/30 Pd=0.20
 p5 1/30 Pd=0.03
 p6 8/30 Pd=0.27
 p7 24/30 Pd=0.80
 p8 4/30 Pd=0.13
 p9 13/30 Pd=0.43
 p10 12/30 Pd=0.40
 p11 9/30 Pd=0.30
 p12 8/30 Pd=0.27
 p13 17/30 Pd=0.57
 p14 23/30 Pd=0.77
 p15 9/30 Pd=0.30
 p16 3/30 Pd=0.10
 p17 13/30 Pd=0.43
 p18 2/30 Pd=0.07
 p19 23/30 Pd=0.77
 p20 7/30 Pd=0.23
 Pdavg=0.36 Pdest=0.28
n=40000 Pdest=0.35
 p1 24/30 Pd=0.80
 p2 5/30 Pd=0.17
 p3 13/30 Pd=0.43
 p4 5/30 Pd=0.17
 p5 2/30 Pd=0.07
 p6 14/30 Pd=0.47
 p7 27/30 Pd=0.90
 p8 2/30 Pd=0.07
 p9 12/30 Pd=0.40
 p10 13/30 Pd=0.43
 p11 10/30 Pd=0.33
 p12 8/30 Pd=0.27
 p13 18/30 Pd=0.60
 p14 26/30 Pd=0.87
 p15 11/30 Pd=0.37
 p16 5/30 Pd=0.17
 p17 13/30 Pd=0.43
 p18 9/30 Pd=0.30
 p19 23/30 Pd=0.77
 p20 8/30 Pd=0.27
 Pdavg=0.41 Pdest=0.35
n=50000 Pdest=0.42
 p1 26/30 Pd=0.87
 p2 4/30 Pd=0.13
 p3 20/30 Pd=0.67
 p4 5/30 Pd=0.17
 p5 2/30 Pd=0.07
 p6 10/30 Pd=0.33
 p7 29/30 Pd=0.97
 p8 5/30 Pd=0.17
 p9 11/30 Pd=0.37
 p10 14/30 Pd=0.47
 p11 11/30 Pd=0.37
 p12 15/30 Pd=0.50
 p13 24/30 Pd=0.80
 p14 28/30 Pd=0.93
 p15 12/30 Pd=0.40
 p16 5/30 Pd=0.17
 p17 15/30 Pd=0.50
 p18 9/30 Pd=0.30
 p19 24/30 Pd=0.80
 p20 10/30 Pd=0.33
 Pdavg=0.47 Pdest=0.42
n=60000 Pdest=0.48
 p1 29/30 Pd=0.97
 p2 2/30 Pd=0.07
 p3 15/30 Pd=0.50
 p4 12/30 Pd=0.40
 p5 3/30 Pd=0.10
 p6 11/30 Pd=0.37
 p7 30/30 Pd=1.00
 p8 9/30 Pd=0.30
 p9 21/30 Pd=0.70
 p10 16/30 Pd=0.53
 p11 15/30 Pd=0.50
 p12 17/30 Pd=0.57
 p13 23/30 Pd=0.77
 p14 28/30 Pd=0.93
 p15 19/30 Pd=0.63
 p16 7/30 Pd=0.23
 p17 21/30 Pd=0.70
 p18 8/30 Pd=0.27
 p19 28/30 Pd=0.93
 p20 12/30 Pd=0.40
 Pdavg=0.54 Pdest=0.48
n=70000 Pdest=0.53
 p1 29/30 Pd=0.97
 p2 8/30 Pd=0.27
 p3 19/30 Pd=0.63
 p4 10/30 Pd=0.33
