8-Puzzle
jumble, nPuzzles, maxN
100000,100000,500000

trial,depth,nscout,puzzle
0,22,6330,5,6,2,1,8,7,0,4,3 
1,18,33517,6,5,3,2,7,4,1,8,0 
2,14,785,8,2,0,4,5,3,7,1,6 
3,19,20282,1,0,3,5,6,7,8,2,4 
4,25,89611,6,0,8,3,7,4,1,2,5 
5,26,76566,7,3,6,4,8,1,2,5,0 
...
99996,20,275509,1,7,8,5,0,3,2,6,4 
99997,21,33124,3,6,4,1,5,8,2,0,7 
99998,28,302377,5,7,2,3,8,1,6,4,0 
99999,28,259822,0,6,8,3,4,7,5,2,1 

depth,nPuzzle,avgN
1,2,3
2,7,5
3,2,4
4,13,15
5,24,25
6,44,41
7,47,60
8,65,101
9,133,187
10,186,356
11,308,588
12,513,996
13,825,1897
14,1274,2953
15,1901,5486
16,2787,8534
17,4169,15652
18,5639,23500
19,7704,42759
20,9105,60277
21,11041,91187
22,11357,109005
23,10418,131514
24,9144,149266
25,7266,159570
26,5727,170958
27,3959,178074
28,2862,170139
29,1683,171509
30,956,176130
31,435,185721
32,229,164600
33,106,164300
34,43,147735
35,15,150019
36,9,145213
37,2,204395
