...
Total Lines Read: 3408
 6     2     77     14    140
 7     2     47     36     58
 8     1    119    119    119
 9     3    152     38    373
10     7    244     98    511
11    13    551    103   1789
12    17   1023     73   2464
13    27   2100      5  12822
14    46   3158     73  11341
15    66   5018      4  26746
16    73   6677     35  34859
17   124  13011     14 116416
18   183  22200     11 181098
19   252  41703     49 608690
20   328  70024    117 819390
21   388 106809    135 990132
22   468 155229     53 1592014
23   419 247076    220 1948057
24   341 319228     45 1875257
25   277 396135     71 1871399
26   183 415908    963 1977208
27   110 419307     41 1877373
28    51 495345   2209 1967633
29    18 514159   5400 1225086
30     7 538578  15119 1267294
31     2 642924 341777 944070
