181440 puzzles analyzed.
depth,nPuzzle,avgN
0,1,3
1,4,5
2,8,9
3,8,9
4,16,11
5,32,29
6,60,32
7,67,141
8,133,235
9,196,192
10,364,666
11,503,513
12,913,1912
13,1242,1538
14,2297,2348
15,2962,3996
16,5287,6220
17,6406,11218
18,10686,16827
19,12041,31218
20,18105,45490
21,16373,162768
22,23651,200168
23,20307,261494
24,21858,307293
25,12529,340045
26,11464,363109
27,5797,362952
28,4664,362602
29,1812,372402
30,1114,366263
31,325,350333
32,161,329781
33,34,353779
34,18,416027
35,2,142073
181440 puzzles solved.
