NNstats.csv Statistics
nPuzzles
181440
d,nInstances,maxManh,minManh,avgManh,maxNN,minNN,avgNN
0,1,0,0,0.0,10.2,10.2,10.2
1,4,1,1,1.0,16.9,10.7,13.8
2,8,2,2,2.0,17.2,10.7,13.7
3,8,3,3,3.0,15.8,7.9,12.6
4,16,4,4,4.0,16.3,9.5,12.8
5,32,5,5,5.0,20.3,4.8,12.6
6,60,6,6,6.0,19.3,3.8,13.6
7,72,7,7,7.0,23.1,6.3,14.2
8,136,8,6,7.8,23.9,5.1,14.9
9,200,9,5,8.4,24.9,5.1,15.2
10,376,10,6,9.1,26.5,5.4,15.8
11,512,11,5,9.5,27.5,5.2,15.9
12,964,12,4,9.9,28.1,2.6,16.5
13,1296,13,5,10.4,27.2,3.0,16.8
14,2368,14,4,10.9,29.4,3.9,17.3
15,3084,15,5,11.3,30.4,2.7,17.4
16,5482,16,4,11.6,30.3,2.5,17.9
17,6736,17,5,12.2,32.3,4.0,18.2
18,11132,18,4,12.6,31.5,4.3,18.7
19,12208,19,5,13.3,33.1,3.2,19.0
20,18612,20,6,13.7,36.2,3.9,19.6
21,18444,21,7,14.4,34.8,3.8,20.0
22,24968,22,8,14.8,34.4,3.6,20.6
23,19632,23,7,15.7,35.7,3.1,21.1
24,22289,24,8,16.0,36.3,4.5,21.5
25,13600,23,9,16.9,35.5,6.7,22.0
26,11842,24,10,17.0,37.4,3.7,22.2
27,4340,23,11,18.0,38.4,5.7,22.8
28,2398,24,12,18.2,34.4,7.0,23.1
29,472,23,13,19.0,35.6,12.2,23.7
30,148,24,12,19.1,32.9,13.5,24.3
Avg d
21.5
