initstates.csv
181440 puzzles
puzzle,d,count
012345687,16,2
012345768,16,2
012345876,12,1
012346578,22,1
012346785,20,3
012346857,16,1
012347586,22,1
012347658,20,2
012347865,16,1
012348567,26,9
012348675,20,3
012348756,20,3
012354678,20,1
012354786,16,1
012354867,18,1
012356487,18,1
012356748,20,3
012356874,16,1
012357468,22,2
012357684,20,1
012357846,20,1
012358476,20,1
012358647,22,1
012358764,20,2
012364587,18,1
012364758,16,1
012364875,14,1
012365478,22,2
012365784,20,1
012365847,18,1
012367485,22,3
012367548,22,1
012367854,18,1
012368457,24,1
012368574,22,2
012368745,22,3
012374568,22,2
012374685,18,2
012374856,18,1
012375486,18,1
012375648,22,4
012375864,20,3
012376458,24,2
012376584,22,3
012376845,22,2
012378465,22,1
012378546,24,1
012378654,20,1
012384576,20,1
012384657,20,2
012384765,14,1
012385467,22,3
012385674,22,2
012385746,18,2
012386475,20,1
012386547,22,1
012386754,18,1
012387456,24,2
012387564,22,1
012387645,20,1
012435678,22,4
012435786,18,2
012435867,20,2
012436587,18,1
012436758,20,5
012436875,16,1
012437568,22,1
012437685,18,1
012437856,22,5
012438576,22,3
012438657,24,9
012438765,14,1
012453687,14,1
012453768,14,1
012453876,10,1
012456378,22,5
012456783,20,1
012456837,16,1
012457386,24,7
012457638,20,1
012457863,16,1
012458367,26,12
012458673,20,2
012458736,18,1
012463578,20,2
012463785,16,1
012463857,14,1
012465387,20,1
012465738,22,6
012465873,16,1
012467358,24,6
012467583,20,2
012467835,20,2
012468375,18,1
012468537,24,2
012468753,16,1
012473586,16,1
012473658,18,2
012473865,12,1
012475368,24,11
012475683,20,1
012475836,18,1
012476385,20,1
012476538,22,1
012476853,18,2
012478356,24,2
012478563,22,4
012478635,20,3
012483567,20,2
012483675,16,1
012483756,16,1
012485376,20,4
012485637,22,3
012485763,18,2
012486357,22,3
012486573,22,3
012486735,20,1
012487365,22,2
012487536,24,2
012487653,20,5
012534687,20,2
012534768,22,4
012534876,18,2
012536478,24,4
012536784,22,4
012536847,20,1
012537486,22,2
012537648,22,3
012537864,20,1
012538467,26,8
012538674,20,1
012538746,18,2
012543678,20,2
012543786,18,2
012543867,16,1
012546387,18,1
012546738,20,2
012546873,14,1
012547368,22,5
012547683,18,2
012547836,18,1
012548376,20,1
012548637,22,2
012548763,16,1
012563487,16,1
012563748,16,1
012563874,12,2
012564378,20,1
012564783,22,1
012564837,16,1
012567384,22,2
012567438,20,1
012567843,16,1
012568347,24,1
012568473,18,1
012568734,22,4
012573468,18,1
012573684,16,2
012573846,14,1
012574386,22,1
012574638,20,1
012574863,20,3
012576348,24,2
012576483,20,1
012576834,20,1
012578364,24,2
012578436,24,11
012578643,20,1
012583476,18,3
012583647,18,1
012583764,14,2
012584367,22,2
012584673,22,1
012584736,18,1
012586374,22,2
012586437,22,2
012586743,18,1
012587346,24,2
012587463,20,2
012587634,24,5
012634578,22,3
012634785,18,1
012634857,20,2
012635487,16,1
012635748,20,1
012635874,18,1
012637458,22,1
012637584,20,2
012637845,20,1
012638475,18,1
012638547,22,2
012638754,16,1
012643587,18,4
012643758,18,2
012643875,8,1
012645378,18,2
012645783,20,1
012645837,14,2
012647385,20,3
012647538,18,1
012647853,14,2
012648357,22,2
012648573,16,1
012648735,20,2
012653478,16,1
012653784,16,1
012653847,12,1
012654387,22,4
012654738,22,3
012654873,18,3
012657348,22,1
012657483,18,1
012657834,18,1
012658374,22,5
012658437,22,4
012658743,18,1
012673485,14,1
012673548,14,1
012673854,10,1
012674358,20,2
012674583,20,3
012674835,16,1
012675384,22,4
012675438,20,1
012675843,16,1
012678345,24,7
012678453,20,5
012678534,20,1
012683457,18,1
012683574,14,2
012683745,14,1
012684375,18,2
012684537,18,1
012684753,16,1
012685347,20,4
012685473,18,1
012685734,18,1
012687354,20,1
012687435,20,1
012687543,16,1
012734586,20,2
012734658,16,1
012734865,16,1
012735468,16,1
012735684,18,1
012735846,20,5
012736485,20,1
012736548,20,2
012736854,18,1
012738456,20,2
012738564,18,1
012738645,16,1
012743568,16,2
012743685,8,1
012743856,18,2
012745386,14,1
012745638,14,2
012745863,18,1
012746358,18,1
012746583,14,1
012746835,22,6
012748365,16,1
012748536,16,1
012748653,12,1
012753486,12,1
012753648,12,2
012753864,14,1
012754368,22,5
012754683,18,4
012754836,18,1
012756384,18,1
012756438,18,2
012756843,20,6
012758346,20,1
012758463,16,1
012758634,18,2
012763458,16,2
012763584,12,2
012763845,14,1
012764385,16,1
012764538,16,1
012764853,16,1
012765348,20,5
012765483,16,1
012765834,18,1
012768354,18,1
012768435,18,1
012768543,14,1
012783465,12,1
012783546,12,1
012783654,8,1
012784356,22,4
012784563,18,1
012784635,14,1
012785364,20,1
012785436,18,1
012785643,14,1
012786345,24,4
012786453,18,1
012786534,18,1
012834567,18,1
012834675,14,1
012834756,16,1
012835476,12,1
012835647,16,1
012835764,14,1
012836457,18,1
012836574,16,1
012836745,18,3
012837465,18,1
012837546,20,1
012837654,16,1
012843576,14,1
012843657,18,1
012843765,4,1
012845367,18,2
012845673,16,1
012845736,10,1
012846375,18,1
012846537,20,4
012846753,10,1
012847356,22,4
012847563,18,2
012847635,18,1
012853467,16,1
012853674,12,1
012853746,8,1
012854376,20,7
012854637,18,1
012854763,14,2
012856347,18,1
012856473,14,1
012856734,14,1
012857364,22,6
012857436,20,2
012857643,18,4
012863475,10,1
012863547,16,1
012863754,6,1
012864357,20,1
012864573,16,1
012864735,12,1
012865374,18,2
012865437,16,1
012865743,12,1
012867345,20,2
012867453,16,2
012867534,18,1
012873456,14,1
012873564,12,1
012873645,10,1
012874365,18,5
012874536,16,1
012874653,12,1
012875346,16,3
012875463,16,1
012875634,14,1
012876354,20,7
012876435,18,1
012876543,14,1
013245678,22,6
013245786,18,4
013245867,20,3
013246587,20,2
013246758,20,6
013246875,16,1
013247568,24,2
013247685,20,6
013247856,22,5
013248576,22,4
013248657,22,1
013248765,16,3
013254687,16,1
013254768,16,1
013254876,12,1
013256478,22,5
013256784,20,2
013256847,18,1
013257486,22,1
013257648,22,1
013257864,18,1
013258467,26,14
013258674,20,2
013258746,20,4
013264578,20,1
013264785,16,1
013264857,16,1
013265487,18,1
013265748,20,2
013265874,16,1
013267458,24,6
013267584,20,1
013267845,22,3
013268475,18,2
013268547,22,2
013268754,18,4
013274586,18,1
013274658,16,1
013274865,14,1
013275468,20,1
013275684,20,3
013275846,18,1
013276485,20,1
013276548,20,1
013276854,18,1
013278456,22,2
013278564,20,1
013278645,18,1
013284567,22,3
013284675,18,1
013284756,18,2
013285476,18,2
013285647,22,4
013285764,20,6
013286457,22,1
013286574,22,5
013286745,22,6
013287465,22,5
013287546,22,1
013287654,18,1
013425687,12,1
013425768,12,1
013425876,8,1
013426578,18,1
013426785,16,1
013426857,12,1
013427586,18,1
013427658,16,1
013427865,12,1
013428567,22,4
013428675,16,2
013428756,16,2
013452678,24,2
013452786,20,1
013452867,22,3
013456287,16,1
013456728,20,1
013456872,18,2
013457268,20,1
013457682,22,2
013457826,20,1
013458276,20,1
013458627,24,3
013458762,22,5
013462587,22,1
013462758,20,2
013462875,18,4
013465278,18,1
013465782,20,1
013465827,16,1
013467285,18,2
013467528,22,2
013467852,20,1
013468257,24,5
013468572,26,21
013468725,22,5
013472568,24,2
013472685,20,5
013472856,22,6
013475286,14,1
013475628,18,1
013475862,16,1
013476258,20,1
013476582,22,2
013476825,20,2
013478265,20,2
013478526,22,2
013478652,22,6
013482576,20,1
013482657,20,1
013482765,16,3
013485267,18,1
013485672,20,2
013485726,14,1
013486275,18,1
013486527,18,1
013486752,18,1
013487256,22,1
013487562,22,1
013487625,18,2
013524678,18,2
013524786,16,2
013524867,14,1
013526487,14,1
013526748,16,2
013526874,10,1
013527468,18,4
013527684,14,1
013527846,14,1
013528476,16,1
013528647,18,1
013528764,12,1
013542687,24,8
013542768,22,1
013542876,20,4
013546278,22,5
013546782,24,7
013546827,18,1
013547286,20,2
013547628,22,1
013547862,22,1
013548267,24,3
013548672,24,1
013548726,20,2
013562478,24,3
013562784,22,2
013562847,20,1
013564287,18,2
013564728,20,2
013564872,16,3
013567248,22,1
013567482,24,5
013567824,20,3
013568274,18,1
013568427,24,3
013568742,20,2
013572486,22,2
013572648,20,1
013572864,18,1
013574268,22,5
013574682,20,5
013574826,18,2
013576284,16,1
013576428,22,4
013576842,18,2
013578246,22,4
013578462,22,1
013578624,18,1
013582467,22,1
013582674,22,4
013582746,18,1
013584276,20,4
013584627,20,1
013584762,18,2
013586247,20,1
013586472,22,3
013586724,16,1
013587264,20,1
013587426,20,1
013587642,22,4
013624587,16,2
013624758,16,2
013624875,6,1
013625478,14,1
013625784,20,4
013625847,10,1
013627485,16,2
013627548,14,1
013627854,10,1
013628457,18,1
013628574,12,1
013628745,16,1
013642578,22,1
013642785,22,4
013642857,20,1
013645287,14,1
013645728,18,1
013645872,16,1
013647258,20,2
013647582,22,2
013647825,18,1
013648275,20,4
013648527,20,1
013648752,20,1
013652487,22,4
013652748,20,1
013652874,16,1
013654278,18,1
013654782,20,2
013654827,14,1
013657284,16,2
013657428,20,2
013657842,18,1
013658247,22,4
013658472,22,2
013658724,18,1
013672458,24,10
013672584,18,2
013672845,20,3
013674285,12,1
013674528,18,1
013674852,14,2
013675248,18,1
013675482,20,5
013675824,18,1
013678254,18,4
013678425,22,7
013678542,18,1
013682475,18,1
013682547,18,1
013682754,14,1
013684257,20,3
013684572,18,2
013684725,12,1
013685274,20,1
013685427,16,1
013685742,16,1
013687245,22,2
013687452,20,1
013687524,16,1
013724568,14,1
013724685,6,1
013724856,18,2
013725486,10,1
013725648,10,1
013725864,20,4
013726458,14,1
013726584,10,1
013726845,20,4
013728465,12,1
013728546,12,1
013728654,8,1
013742586,20,1
013742658,18,1
013742865,18,1
013745268,14,1
013745682,16,1
013745826,16,1
013746285,18,1
013746528,18,1
013746852,20,1
013748256,18,1
013748562,20,1
013748625,16,1
013752468,20,2
013752684,16,1
013752846,18,1
013754286,14,1
013754628,14,1
013754862,18,1
013756248,18,1
013756482,20,4
013756824,16,1
013758264,14,1
013758426,18,1
013758642,16,1
013762485,18,1
013762548,16,1
013762854,14,1
013764258,18,3
013764582,16,2
013764825,12,1
013765284,18,1
013765428,16,1
013765842,16,1
013768245,18,1
013768452,20,2
013768524,14,1
013782456,22,4
013782564,18,1
013782645,18,2
013784265,12,1
013784526,16,1
013784652,12,1
013785246,16,1
013785462,16,1
013785624,18,2
013786254,16,1
013786425,20,1
013786542,16,1
013824576,16,1
013824657,18,5
013824765,2,1
013825467,14,1
013825674,18,2
013825746,6,1
013826475,16,2
013826547,16,2
013826754,6,1
013827456,18,2
013827564,14,1
013827645,16,2
013842567,22,1
