initstates_stats.csv Statistics
nPuzzles
181440
d,nInstances,maxCount,minCount,avgCount,maxManh,minManh,avgManh
0,1,1,1,1.0,0,0,0.0
1,4,1,1,1.0,1,1,1.0
2,8,1,1,1.0,2,2,2.0
3,8,1,1,1.0,3,3,3.0
4,16,1,1,1.0,4,4,4.0
5,32,1,1,1.0,5,5,5.0
6,60,2,1,1.1,6,6,6.0
7,72,1,1,1.0,7,7,7.0
8,136,2,1,1.1,8,6,7.8
9,200,2,1,1.1,9,5,8.4
10,376,4,1,1.1,10,6,9.1
11,512,2,1,1.1,11,5,9.5
12,964,2,1,1.1,12,4,9.9
13,1296,3,1,1.2,13,5,10.4
14,2368,4,1,1.2,14,4,10.9
15,3084,4,1,1.3,15,5,11.3
16,5482,4,1,1.3,16,4,11.6
17,6736,5,1,1.4,17,5,12.2
18,11132,7,1,1.5,18,4,12.6
19,12208,9,1,1.7,19,5,13.3
20,18612,12,1,1.9,20,6,13.7
21,18444,13,1,2.1,21,7,14.4
22,24968,32,1,2.4,22,8,14.8
23,19632,15,1,2.9,23,7,15.7
24,22289,40,1,3.3,24,8,16.0
25,13600,27,1,4.3,23,9,16.9
26,11842,44,1,5.3,24,10,17.0
27,4340,38,1,8.0,23,11,18.0
28,2398,51,1,10.7,24,12,18.2
29,472,43,2,14.3,23,13,19.0
30,148,82,5,29.2,24,12,19.1
Avg d
21.5
