NNstats.csv Statistics
nPuzzles
181440
d,nInstances,maxManh,minManh,avgManh,maxNN,minNN,avgNN
0,1,0,0,0.0,0.0,-1.$,-1.$
1,4,1,1,1.0,0.0,-1.$,-1.$
2,8,2,2,2.0,0.0,-1.$,-1.$
3,8,3,3,3.0,0.0,-1.$,-1.$
4,16,4,4,4.0,0.0,-1.$,-1.$
5,32,5,5,5.0,0.0,-1.$,-1.$
6,60,6,6,6.0,0.0,-1.$,-1.$
7,72,7,7,7.0,0.0,-1.$,-1.$
8,136,8,6,7.8,0.0,-1.$,-1.$
9,200,9,5,8.4,0.0,-1.$,-1.$
10,376,10,6,9.1,0.0,-1.$,-1.$
11,512,11,5,9.5,0.0,-1.$,-1.$
12,964,12,4,9.9,0.0,-1.$,-1.$
13,1296,13,5,10.4,0.0,-1.$,-1.$
14,2368,14,4,10.9,0.0,-1.$,-1.$
15,3084,15,5,11.3,0.0,-1.$,-1.$
16,5482,16,4,11.6,0.0,-1.$,-1.$
17,6736,17,5,12.2,0.0,-1.$,-1.$
18,11132,18,4,12.6,0.0,-1.$,-1.$
19,12208,19,5,13.3,0.0,-1.$,-1.$
20,18612,20,6,13.7,0.0,-1.$,-1.$
21,18444,21,7,14.4,0.0,-1.$,-1.$
22,24968,22,8,14.8,0.0,-1.$,-1.$
23,19632,23,7,15.7,0.0,-1.$,-1.$
24,22289,24,8,16.0,0.0,-1.$,-1.$
25,13600,23,9,16.9,0.0,-1.$,-1.$
26,11842,24,10,17.0,0.0,-1.$,-1.$
27,4340,23,11,18.0,0.0,-1.$,-1.$
28,2398,24,12,18.2,0.0,-1.$,-1.$
29,472,23,13,19.0,0.0,-1.$,-1.$
30,148,24,12,19.1,0.0,-1.$,-1.$
Avg d
21.5
