control
420,3
0,16,160
0.05,15.54,166.4
0.1,15.08,172.7
0.15,14.63,178.9
0.2,14.18,185.1
0.25,13.74,191.1
0.3,13.3,197
0.35,12.86,202.9
0.4,12.43,208.6
0.45,12,214.3
0.5,11.58,219.8
0.55,11.16,225.2
0.6,10.75,230.5
0.65,10.34,235.7
0.7,9.932,240.8
0.75,9.531,245.7
0.8,9.134,250.6
0.85,8.742,255.3
0.9,8.353,259.9
0.95,7.969,264.3
1,7.59,268.7
1.05,7.214,272.9
1.1,6.843,277
1.15,6.476,280.9
1.2,6.113,284.8
1.25,5.754,288.5
1.3,5.4,292
1.35,5.05,295.4
1.4,4.704,298.7
1.45,4.362,301.8
1.5,4.025,304.8
1.55,3.691,307.7
1.6,3.362,310.4
1.65,3.037,313
1.7,2.717,315.4
1.75,2.401,317.7
1.8,2.088,319.8
1.85,1.78,321.8
1.9,1.477,323.7
1.95,1.177,325.4
2,0.8819,326.9
2.05,0.5908,328.3
2.1,0.3039,329.5
2.15,0.02129,330.6
2.2,-0.2571,331.6
2.25,-0.5313,332.4
2.3,-0.8013,333
2.35,-1.067,333.5
2.4,-1.329,333.8
2.45,-1.586,334
2.5,-1.839,334
2.55,-2.088,333.9
2.6,-2.332,333.6
2.65,-2.572,333.2
2.7,-2.808,332.6
2.75,-3.04,331.9
2.8,-3.267,331
2.85,-3.49,330
2.9,-3.709,328.8
2.95,-3.924,327.5
3,-4.134,326
3.05,-4.34,324.3
3.1,-4.541,322.6
3.15,-4.738,320.6
3.2,-4.93,318.6
3.25,-5.119,316.3
3.3,-5.302,314
3.35,-5.481,311.5
3.4,-5.656,308.8
3.45,-5.826,306
3.5,-5.992,303.1
3.55,-6.152,300
3.6,-6.309,296.8
3.65,-6.46,293.5
3.7,-6.607,290
3.75,-6.749,286.4
3.8,-6.886,282.7
3.85,-7.018,278.9
3.9,-7.145,274.9
3.95,-7.267,270.8
4,-7.383,266.6
4.05,-7.495,262.3
4.1,-7.6,257.9
4.15,-7.7,253.3
4.2,-7.795,248.7
4.25,-7.883,244
4.3,-7.965,239.2
4.35,-8.04,234.3
4.4,-8.108,229.3
4.45,-8.169,224.2
4.5,-8.222,219.2
4.55,-8.265,214
4.6,-8.299,208.9
4.65,-8.321,203.7
4.7,-8.33,198.5
4.75,-8.322,193.5
4.8,-8.29,188.5
4.85,-8.225,183.8
4.9,-8.099,179.7
4.95,5.902,314.3
5,5.731,316.8
5.05,5.562,319.2
5.1,5.395,321.6
5.15,5.229,323.9
5.2,5.065,326.2
5.25,4.902,328.5
5.3,4.741,330.8
5.35,4.582,333
5.4,4.424,335.1
5.45,4.267,337.2
5.5,4.113,339.3
5.55,3.959,341.4
5.6,3.808,343.4
5.65,3.658,345.3
5.7,3.509,347.2
5.75,3.362,349.1
5.8,3.217,350.9
5.85,3.073,352.7
5.9,2.931,354.4
5.95,2.79,356.1
6,2.651,357.7
6.05,2.513,359.3
6.1,2.377,360.8
6.15,2.243,362.3
6.2,2.11,363.8
6.25,1.979,365.1
6.3,1.849,366.5
6.35,1.72,367.8
6.4,1.594,369
6.45,1.468,370.2
6.5,1.345,371.3
6.55,1.223,372.3
6.6,1.102,373.4
6.65,0.9829,374.3
6.7,0.8654,375.2
6.75,0.7494,376.1
6.8,0.635,376.9
6.85,0.5221,377.6
6.9,0.4107,378.3
6.95,0.3009,378.9
7,0.1926,379.5
7.05,0.08581,380
7.1,-0.01941,380.5
7.15,-0.1231,380.9
7.2,-0.2252,381.2
7.25,-0.3258,381.5
7.3,-0.4248,381.8
7.35,-0.5224,381.9
7.4,-0.6183,382
7.45,-0.7127,382.1
7.5,-0.8056,382.1
7.55,-0.8969,382
7.6,-0.9866,381.9
7.65,-1.075,381.8
7.7,-1.161,381.5
7.75,-1.247,381.2
7.8,-1.33,380.9
7.85,-1.412,380.5
7.9,-1.492,380
7.95,-1.571,379.5
8,-1.648,378.9
8.05,-1.724,378.3
8.1,-1.798,377.6
8.15,-1.87,376.9
8.2,-1.941,376.1
8.25,-2.01,375.3
8.3,-2.078,374.3
8.35,-2.143,373.4
8.4,-2.208,372.4
8.45,-2.27,371.3
8.5,-2.331,370.2
8.55,-2.39,369
8.6,-2.448,367.8
8.65,-2.504,366.5
8.7,-2.558,365.2
8.75,-2.61,363.8
8.8,-2.66,362.4
8.85,-2.709,360.9
8.9,-2.756,359.4
8.95,-2.8,357.9
9,-2.843,356.3
9.05,-2.884,354.6
9.1,-2.923,352.9
9.15,-2.96,351.2
9.2,-2.995,349.4
9.25,-3.028,347.6
9.3,-3.058,345.8
9.35,-3.085,343.9
9.4,-3.111,342
9.45,-3.133,340.1
9.5,-3.152,338.2
9.55,-3.168,336.2
9.6,-3.18,334.2
9.65,-3.188,332.2
9.7,-3.191,330.3
9.75,-3.188,328.3
9.8,-3.176,326.4
9.85,-3.15,324.7
9.9,-3.102,323.1
9.95,-20.35,148.5
10,-19.78,140.3
10.05,-19.2,132.2
10.1,-18.63,124.2
10.15,-18.07,116.4
10.2,-17.52,108.6
10.25,-16.96,101
10.3,-16.42,93.48
10.35,-15.88,86.1
10.4,-15.34,78.85
10.45,-14.81,71.73
10.5,-14.29,64.75
10.55,-13.77,57.9
10.6,-13.25,51.19
10.65,-12.74,44.63
10.7,-12.24,38.21
10.75,-11.74,31.93
10.8,-11.25,25.81
10.85,-10.76,19.83
10.9,-10.28,14.01
10.95,-9.801,8.348
11,-9.329,2.843
11.05,-8.863,-2.503
11.1,-8.401,-7.687
11.15,-7.945,-12.71
11.2,-7.495,-17.56
11.25,-7.049,-22.25
11.3,-6.609,-26.76
11.35,-6.174,-31.11
11.4,-5.744,-35.28
11.45,-5.32,-39.28
11.5,-4.9,-43.1
11.55,-4.486,-46.75
11.6,-4.078,-50.22
11.65,-3.674,-53.5
11.7,-3.276,-56.61
11.75,-2.883,-59.54
11.8,-2.495,-62.28
11.85,-2.112,-64.84
11.9,-1.735,-67.21
11.95,-1.362,-69.4
