critical
2101,3
0,0,0
0.01,0.0007962,0.1589
0.02,0.00317,0.3155
0.03,0.007099,0.4699
0.04,0.01256,0.6222
0.05,0.01953,0.7722
0.06,0.02803,0.9265
0.07,0.03806,1.079
0.08,0.04959,1.228
0.09,0.06262,1.376
0.1,0.07711,1.522
0.11,0.09308,1.671
0.12,0.1105,1.819
0.13,0.1294,1.964
0.14,0.1498,2.108
0.15,0.1716,2.249
0.16,0.1948,2.394
0.17,0.2195,2.537
0.18,0.2455,2.678
0.19,0.273,2.817
0.2,0.3019,2.953
0.21,0.3321,3.094
0.22,0.3637,3.233
0.23,0.3967,3.369
0.24,0.4311,3.503
0.25,0.4668,3.636
0.26,0.5038,3.772
0.27,0.5422,3.906
0.28,0.582,4.038
0.29,0.623,4.169
0.3,0.6653,4.297
0.31,0.709,4.428
0.32,0.7539,4.558
0.33,0.8001,4.686
0.34,0.8476,4.812
0.35,0.8963,4.936
0.36,0.9463,5.063
0.37,0.9976,5.189
0.38,1.05,5.312
0.39,1.104,5.434
0.4,1.159,5.553
0.41,1.215,5.677
0.42,1.272,5.798
0.43,1.331,5.917
0.44,1.391,6.034
0.45,1.452,6.15
0.46,1.514,6.269
0.47,1.577,6.386
0.48,1.641,6.501
0.49,1.707,6.614
0.5,1.774,6.725
0.51,1.841,6.84
0.52,1.91,6.953
0.53,1.981,7.064
0.54,2.052,7.173
0.55,2.124,7.28
0.56,2.197,7.391
0.57,2.272,7.499
0.58,2.347,7.606
0.59,2.424,7.711
0.6,2.502,7.814
0.61,2.58,7.921
0.62,2.66,8.025
0.63,2.741,8.128
0.64,2.823,8.229
0.65,2.905,8.328
0.66,2.989,8.431
0.67,3.074,8.531
0.68,3.16,8.63
0.69,3.246,8.727
0.7,3.334,8.822
0.71,3.423,8.921
0.72,3.513,9.017
0.73,3.603,9.112
0.74,3.695,9.205
0.75,3.787,9.296
0.76,3.881,9.391
0.77,3.975,9.483
0.78,4.07,9.574
0.79,4.167,9.663
0.8,4.264,9.75
0.81,4.362,9.841
0.82,4.461,9.93
0.83,4.56,10.02
0.84,4.661,10.1
0.85,4.762,10.19
0.86,4.865,10.27
0.87,4.968,10.36
0.88,5.072,10.44
0.89,5.177,10.52
0.9,5.282,10.6
0.91,5.389,10.68
0.92,5.496,10.76
0.93,5.604,10.84
0.94,5.713,10.92
0.95,5.822,11
0.96,5.933,11.08
0.97,6.044,11.15
0.98,6.156,11.23
0.99,6.268,11.3
1,6.382,11.38
1.01,6.496,11.45
1.02,6.611,11.52
1.03,6.726,11.6
1.04,6.843,11.67
1.05,6.96,11.73
1.06,7.077,11.81
1.07,7.196,11.88
1.08,7.315,11.94
1.09,7.435,12.01
1.1,7.555,12.08
1.11,7.676,12.14
1.12,7.798,12.21
1.13,7.92,12.27
1.14,8.044,12.34
1.15,8.167,12.4
1.16,8.291,12.46
1.17,8.416,12.53
1.18,8.542,12.59
1.19,8.668,12.65
1.2,8.795,12.7
1.21,8.922,12.76
1.22,9.05,12.82
1.23,9.179,12.88
1.24,9.308,12.94
1.25,9.437,12.99
1.26,9.568,13.05
1.27,9.698,13.1
1.28,9.83,13.16
1.29,9.962,13.21
1.3,10.09,13.26
1.31,10.23,13.31
1.32,10.36,13.37
1.33,10.49,13.42
1.34,10.63,13.47
1.35,10.76,13.51
1.36,10.9,13.56
1.37,11.03,13.61
1.38,11.17,13.66
1.39,11.31,13.7
1.4,11.45,13.75
1.41,11.58,13.8
1.42,11.72,13.84
1.43,11.86,13.88
