control
500,3
0,0,0
0.05,0,0
0.1,0,0
0.15,0,0
0.2,0,0
0.25,0,0
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
0.55,0,0
0.6,0,0
0.65,0,0
0.7,0,0
0.75,0,0
0.8,0,0
0.85,0,0
0.9,0,0
0.95,0,0
1,40,400
1.05,5.89,86.45
1.1,-1.251,19.56
1.15,-2.621,5.53
1.2,-2.859,1.867
1.25,-2.942,-0.4486
1.3,-3.051,-3.111
1.35,-3.199,-6.272
1.4,-3.37,-9.801
1.45,-3.547,-13.54
1.5,-3.716,-17.37
1.55,-3.867,-21.17
1.6,-3.992,-24.86
1.65,-4.086,-28.37
1.7,-4.146,-31.66
1.75,-4.169,-34.66
1.8,-4.153,-37.33
1.85,-4.098,-39.65
1.9,-4.003,-41.59
1.95,-3.869,-43.12
2,-3.697,-44.22
2.05,-3.489,-44.88
2.1,-3.246,-45.1
2.15,-2.971,-44.87
2.2,-2.666,-44.19
2.25,-2.335,-43.07
2.3,-1.981,-41.53
2.35,-1.607,-39.56
2.4,-1.216,-37.2
2.45,-0.8141,-34.48
2.5,-0.4036,-31.4
2.55,0.01082,-28.01
2.6,0.4252,-24.35
2.65,0.8352,-20.44
2.7,1.237,-16.32
2.75,1.626,-12.04
2.8,1.999,-7.645
2.85,2.353,-3.17
2.9,2.682,1.336
2.95,2.985,5.829
3,3.258,10.26
3.05,3.499,14.6
3.1,3.704,18.78
3.15,3.873,22.78
3.2,4.002,26.55
3.25,4.092,30.06
3.3,4.141,33.26
3.35,4.149,36.14
3.4,4.115,38.65
3.45,4.04,40.77
3.5,3.924,42.49
3.55,3.77,43.79
3.6,3.577,44.64
3.65,3.349,45.05
3.7,3.088,45.01
3.75,2.796,44.52
3.8,2.475,43.59
3.85,2.13,42.22
3.9,1.764,40.43
3.95,1.38,38.23
4,0.9825,35.65
4.05,0.575,32.72
4.1,0.1617,29.46
4.15,-0.2531,25.9
4.2,-0.6655,22.09
4.25,-1.071,18.05
4.3,-1.466,13.84
4.35,-1.846,9.486
4.4,-2.208,5.038
4.45,-2.548,0.5391
4.5,-2.863,-3.965
4.55,-3.148,-8.429
4.6,-3.403,-12.81
4.65,-3.623,-17.06
4.7,-3.807,-21.14
4.75,-3.953,-25.01
4.8,-4.06,-28.63
4.85,-4.126,-31.97
4.9,-4.15,-34.98
4.95,-4.134,-37.65
5,-4.076,-39.94
5.05,-3.977,-41.83
5.1,-3.839,-43.3
5.15,-3.662,-44.34
5.2,-3.448,-44.94
5.25,-3.201,-45.08
5.3,-2.921,-44.78
5.35,-2.612,-44.03
5.4,-2.277,-42.84
5.45,-1.919,-41.22
5.5,-1.542,-39.19
5.55,-1.149,-36.77
5.6,-0.7454,-33.98
5.65,-0.334,-30.85
5.7,0.08066,-27.42
5.75,0.4946,-23.7
5.8,0.9035,-19.76
5.85,1.303,-15.61
5.9,1.69,-11.31
5.95,2.06,-6.896
6,2.41,-2.413
6.05,2.735,2.094
6.1,3.033,6.58
6.15,3.301,11
6.2,3.536,15.31
6.25,3.735,19.47
6.3,3.897,23.43
6.35,4.02,27.16
6.4,4.103,30.62
6.45,4.145,33.77
6.5,4.146,36.58
6.55,4.105,39.03
6.6,4.023,41.09
6.65,3.901,42.74
6.7,3.74,43.96
6.75,3.541,44.74
6.8,3.308,45.08
6.85,3.041,44.96
6.9,2.744,44.4
6.95,2.419,43.39
7,2.07,41.95
7.05,1.701,40.09
7.1,1.314,37.82
7.15,0.9145,35.18
7.2,0.5058,32.19
7.25,0.09196,28.88
7.3,-0.3228,25.28
7.35,-0.7343,21.42
7.4,-1.138,17.36
7.45,-1.531,13.12
7.5,-1.909,8.743
7.55,-2.267,4.283
7.6,-2.603,-0.2191
7.65,-2.913,-4.719
7.7,-3.193,-9.173
7.75,-3.442,-13.53
7.8,-3.656,-17.76
7.85,-3.834,-21.81
7.9,-3.974,-25.64
7.95,-4.074,-29.22
8,-4.133,-32.5
8.05,-4.151,-35.46
8.1,-4.127,-38.06
8.15,-4.062,-40.28
8.2,-3.957,-42.1
8.25,-3.812,-43.51
8.3,-3.628,-44.47
8.35,-3.409,-44.99
8.4,-3.156,-45.06
8.45,-2.871,-44.69
8.5,-2.557,-43.86
8.55,-2.218,-42.6
8.6,-1.857,-40.91
8.65,-1.477,-38.81
8.7,-1.082,-36.33
8.75,-0.6766,-33.48
8.8,-0.2644,-30.3
8.85,0.1504,-26.81
8.9,0.5638,-23.06
8.95,0.9715,-19.07
9,1.37,-14.9
9.05,1.754,-10.58
9.1,2.121,-6.146
9.15,2.466,-1.656
9.2,2.787,2.851
9.25,3.08,7.329
9.3,3.343,11.73
9.35,3.572,16.02
9.4,3.765,20.15
9.45,3.921,24.08
9.5,4.037,27.76
9.55,4.113,31.17
9.6,4.148,34.27
9.65,4.142,37.02
9.7,4.094,39.41
9.75,4.005,41.4
9.8,3.877,42.97
9.85,3.709,44.12
9.9,3.505,44.83
9.95,3.265,45.09
10,2.993,44.9
10.05,-31.28,-295.5
10.1,-3.587,-39.71
10.15,1.527,8.95
10.2,1.943,14.11
10.25,1.539,11.37
10.3,1.106,8.093
10.35,0.7733,5.534
10.4,0.5363,3.715
10.45,0.3711,2.461
10.5,0.2568,1.608
10.55,0.1779,1.034
10.6,0.1235,0.6542
10.65,0.08595,0.4076
10.7,0.06006,0.253
10.75,0.0422,0.1619
10.8,0.02989,0.1146
10.85,0.0214,0.09749
10.9,0.01554,0.1012
10.95,0.0115,0.1193
11,0.008718,0.1473
11.05,0.006797,0.1821
11.1,0.005473,0.2216
11.15,0.004559,0.2644
11.2,0.003929,0.3094
