control
500,3
0,0,0
0.05,0,0
0.1,0,0
0.15,0,0
0.2,0,0
0.25,0,0
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
0.55,0,0
0.6,0,0
0.65,0,0
0.7,0,0
0.75,0,0
0.8,0,0
0.85,0,0
0.9,0,0
0.95,0,0
1,40,400
1.05,6.613,106.6
1.1,-1.029,37.34
1.15,-2.64,20.71
1.2,-2.944,15.52
1.25,-3.033,12.12
1.3,-3.135,8.481
1.35,-3.277,4.31
1.4,-3.444,-0.2975
1.45,-3.619,-5.193
1.5,-3.788,-10.24
1.55,-3.939,-15.33
1.6,-4.066,-20.36
1.65,-4.161,-25.26
1.7,-4.222,-29.95
1.75,-4.245,-34.37
1.8,-4.229,-38.47
1.85,-4.173,-42.2
1.9,-4.076,-45.52
1.95,-3.94,-48.39
2,-3.765,-50.79
2.05,-3.553,-52.67
2.1,-3.306,-54.04
2.15,-3.026,-54.87
2.2,-2.716,-55.15
2.25,-2.379,-54.87
2.3,-2.018,-54.06
2.35,-1.637,-52.7
2.4,-1.24,-50.81
2.45,-0.8306,-48.42
2.5,-0.4128,-45.55
2.55,0.009205,-42.21
2.6,0.4311,-38.46
2.65,0.8486,-34.32
2.7,1.258,-29.84
2.75,1.654,-25.07
2.8,2.034,-20.04
2.85,2.394,-14.81
2.9,2.729,-9.433
2.95,3.038,-3.962
3,3.316,1.548
3.05,3.561,7.043
3.1,3.77,12.47
3.15,3.942,17.77
3.2,4.074,22.89
3.25,4.166,27.78
3.3,4.216,32.4
3.35,4.224,36.69
3.4,4.189,40.62
3.45,4.113,44.14
3.5,3.996,47.22
3.55,3.839,49.82
3.6,3.643,51.93
3.65,3.411,53.52
3.7,3.145,54.58
3.75,2.848,55.09
3.8,2.522,55.05
3.85,2.171,54.46
3.9,1.798,53.33
3.95,1.407,51.66
4,1.002,49.48
4.05,0.5872,46.8
4.1,0.1665,43.65
4.15,-0.2559,40.07
4.2,-0.6758,36.09
4.25,-1.089,31.75
4.3,-1.491,27.09
4.35,-1.878,22.16
4.4,-2.247,17.01
4.45,-2.593,11.68
4.5,-2.913,6.246
4.55,-3.204,0.7449
4.6,-3.463,-4.763
4.65,-3.688,-10.22
4.7,-3.875,-15.58
4.75,-4.024,-20.78
4.8,-4.133,-25.78
4.85,-4.2,-30.52
4.9,-4.226,-34.95
4.95,-4.209,-39.03
5,-4.15,-42.73
5.05,-4.05,-45.99
5.1,-3.909,-48.8
5.15,-3.729,-51.12
5.2,-3.512,-52.93
5.25,-3.26,-54.21
5.3,-2.975,-54.95
5.35,-2.661,-55.13
5.4,-2.319,-54.77
5.45,-1.955,-53.86
5.5,-1.571,-52.42
5.55,-1.172,-50.44
5.6,-0.7607,-47.97
5.65,-0.3419,-45.02
5.7,0.08031,-41.61
5.75,0.5017,-37.79
5.8,0.9181,-33.59
5.85,1.325,-29.06
5.9,1.719,-24.24
5.95,2.096,-19.17
6,2.452,-13.91
6.05,2.783,-8.518
6.1,3.087,-3.037
6.15,3.36,2.475
6.2,3.599,7.962
6.25,3.802,13.37
6.3,3.967,18.64
6.35,4.093,23.73
6.4,4.177,28.58
6.45,4.22,33.15
6.5,4.221,37.38
6.55,4.18,41.24
6.6,4.096,44.69
6.65,3.972,47.69
6.7,3.809,50.22
6.75,3.607,52.24
6.8,3.369,53.74
6.85,3.097,54.7
6.9,2.795,55.12
6.95,2.464,54.99
7,2.109,54.31
7.05,1.733,53.08
7.1,1.34,51.33
7.15,0.9329,49.06
7.2,0.5168,46.3
7.25,0.09545,43.08
7.3,-0.3268,39.43
7.35,-0.7458,35.38
7.4,-1.157,30.98
7.45,-1.557,26.28
7.5,-1.942,21.3
7.55,-2.307,16.12
7.6,-2.649,10.78
7.65,-2.964,5.324
7.7,-3.25,-0.1823
7.75,-3.504,-5.686
7.8,-3.722,-11.13
7.85,-3.903,-16.47
7.9,-4.045,-21.64
7.95,-4.147,-26.6
8,-4.208,-31.29
8.05,-4.226,-35.66
8.1,-4.202,-39.68
8.15,-4.136,-43.31
8.2,-4.029,-46.5
8.25,-3.881,-49.22
8.3,-3.695,-51.46
8.35,-3.472,-53.18
8.4,-3.214,-54.37
8.45,-2.924,-55.02
8.5,-2.605,-55.11
8.55,-2.26,-54.66
8.6,-1.892,-53.66
8.65,-1.505,-52.12
8.7,-1.103,-50.06
8.75,-0.6907,-47.51
8.8,-0.271,-44.47
8.85,0.1513,-41
8.9,0.5722,-37.11
8.95,0.9873,-32.85
9,1.393,-28.27
9.05,1.784,-23.4
9.1,2.158,-18.3
9.15,2.51,-13.02
9.2,2.836,-7.601
9.25,3.135,-2.111
9.3,3.402,3.401
9.35,3.635,8.878
9.4,3.832,14.27
9.45,3.991,19.51
9.5,4.11,24.56
9.55,4.187,29.37
9.6,4.223,33.88
9.65,4.217,38.06
9.7,4.169,41.85
9.75,4.078,45.23
9.8,3.948,48.15
9.85,3.777,50.59
9.9,3.569,52.53
9.95,3.325,53.94
10,3.048,54.81
10.05,-31.23,-284.6
10.1,-4.157,-45.1
10.15,1.359,5.844
10.2,1.96,13.18
10.25,1.596,11.49
10.3,1.157,8.706
10.35,0.8101,6.41
10.4,0.5605,4.752
10.45,0.3864,3.605
10.5,0.2662,2.828
10.55,0.1836,2.309
10.6,0.1268,1.969
10.65,0.08785,1.75
10.7,0.0611,1.616
10.75,0.04274,1.539
10.8,0.03013,1.503
10.85,0.02148,1.493
10.9,0.01554,1.502
10.95,0.01147,1.524
11,0.008668,1.555
11.05,0.006747,1.592
11.1,0.005429,1.632
11.15,0.004524,1.676
11.2,0.003903,1.722
11.25,0.003477,1.769
