control
500,3
0,0,0
0.05,0,0
0.1,0,0
0.15,0,0
0.2,0,0
0.25,0,0
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
0.55,0,0
0.6,0,0
0.65,0,0
0.7,0,0
0.75,0,0
0.8,0,0
0.85,0,0
0.9,0,0
0.95,0,0
1,40,400
1.05,5.15,65.64
1.1,-1.451,1.929
1.15,-2.59,-9.428
1.2,-2.773,-11.64
1.25,-2.854,-12.94
1.3,-2.971,-14.66
1.35,-3.125,-16.82
1.4,-3.299,-19.28
1.45,-3.477,-21.87
1.5,-3.646,-24.47
1.55,-3.795,-26.99
1.6,-3.919,-29.34
1.65,-4.013,-31.48
1.7,-4.072,-33.36
1.75,-4.094,-34.94
1.8,-4.079,-36.19
1.85,-4.024,-37.11
1.9,-3.931,-37.66
1.95,-3.799,-37.84
2,-3.63,-37.66
2.05,-3.426,-37.1
2.1,-3.187,-36.17
2.15,-2.917,-34.88
2.2,-2.617,-33.25
2.25,-2.292,-31.28
2.3,-1.944,-29.01
2.35,-1.576,-26.44
2.4,-1.193,-23.61
2.45,-0.7978,-20.54
2.5,-0.3947,-17.27
2.55,0.01236,-13.83
2.6,0.4193,-10.25
2.65,0.822,-6.563
2.7,1.216,-2.814
2.75,1.599,0.9642
2.8,1.965,4.732
2.85,2.312,8.453
2.9,2.636,12.09
2.95,2.933,15.61
3,3.201,18.96
3.05,3.437,22.13
3.1,3.638,25.08
3.15,3.804,27.78
3.2,3.931,30.2
3.25,4.019,32.32
3.3,4.067,34.12
3.35,4.074,35.57
3.4,4.041,36.67
3.45,3.967,37.41
3.5,3.853,37.77
3.55,3.701,37.75
3.6,3.512,37.35
3.65,3.288,36.58
3.7,3.031,35.45
3.75,2.744,33.96
3.8,2.43,32.14
3.85,2.091,29.99
3.9,1.731,27.54
3.95,1.354,24.82
4,0.9632,21.85
4.05,0.563,18.66
4.1,0.1571,15.28
4.15,-0.2503,11.75
4.2,-0.6553,8.105
4.25,-1.054,4.379
4.3,-1.442,0.6079
4.35,-1.815,-3.169
4.4,-2.17,-6.914
4.45,-2.504,-10.59
4.5,-2.813,-14.16
4.55,-3.093,-17.59
4.6,-3.343,-20.84
4.65,-3.559,-23.89
4.7,-3.74,-26.69
4.75,-3.883,-29.23
4.8,-3.987,-31.48
4.85,-4.052,-33.41
4.9,-4.076,-35.01
4.95,-4.06,-36.26
5,-4.002,-37.15
5.05,-3.905,-37.66
5.1,-3.769,-37.8
5.15,-3.595,-37.56
5.2,-3.386,-36.95
5.25,-3.142,-35.97
5.3,-2.867,-34.62
5.35,-2.564,-32.94
5.4,-2.234,-30.92
5.45,-1.883,-28.59
5.5,-1.513,-25.98
5.55,-1.127,-23.11
5.6,-0.7303,-20.01
5.65,-0.3263,-16.7
5.7,0.08095,-13.24
5.75,0.4874,-9.634
5.8,0.889,-5.936
5.85,1.282,-2.179
5.9,1.662,1.6
5.95,2.025,5.362
6,2.368,9.072
6.05,2.687,12.69
6.1,2.98,16.18
6.15,3.243,19.51
6.2,3.473,22.65
6.25,3.669,25.56
6.3,3.828,28.21
6.35,3.949,30.58
6.4,4.03,32.65
6.45,4.071,34.39
6.5,4.071,35.78
6.55,4.031,36.82
6.6,3.951,37.49
6.65,3.831,37.79
6.7,3.672,37.71
6.75,3.477,37.25
6.8,3.247,36.42
6.85,2.985,35.23
6.9,2.693,33.68
6.95,2.374,31.8
7,2.032,29.6
7.05,1.669,27.1
7.1,1.289,24.33
7.15,0.8965,21.32
7.2,0.495,18.1
7.25,0.08858,14.7
7.3,-0.3187,11.15
7.35,-0.7228,7.483
7.4,-1.12,3.747
7.45,-1.505,-0.02772
7.5,-1.876,-3.802
7.55,-2.228,-7.538
7.6,-2.558,-11.2
7.65,-2.862,-14.75
7.7,-3.137,-18.15
7.75,-3.381,-21.37
7.8,-3.592,-24.38
7.85,-3.766,-27.14
7.9,-3.903,-29.63
7.95,-4.001,-31.83
8,-4.059,-33.7
8.05,-4.076,-35.25
8.1,-4.053,-36.43
8.15,-3.989,-37.26
8.2,-3.885,-37.71
8.25,-3.743,-37.79
8.3,-3.563,-37.49
8.35,-3.347,-36.81
8.4,-3.098,-35.77
8.45,-2.818,-34.36
8.5,-2.51,-32.62
8.55,-2.177,-30.55
8.6,-1.822,-28.17
8.65,-1.449,-25.52
8.7,-1.061,-22.6
8.75,-0.6628,-19.46
8.8,-0.258,-16.13
8.85,0.1495,-12.64
8.9,0.5554,-9.018
8.95,0.9558,-5.308
9,1.347,-1.544
9.05,1.724,2.234
9.1,2.084,5.991
9.15,2.423,9.687
9.2,2.739,13.29
9.25,3.026,16.75
9.3,3.284,20.05
9.35,3.509,23.15
9.4,3.698,26.02
9.45,3.851,28.63
9.5,3.965,30.95
9.55,4.04,32.96
9.6,4.074,34.65
9.65,4.067,35.98
9.7,4.02,36.96
9.75,3.933,37.57
9.8,3.807,37.8
9.85,3.642,37.66
9.9,3.441,37.14
9.95,3.206,36.24
10,2.938,34.99
10.05,-31.33,-306.3
10.1,-3.002,-33.77
10.15,1.677,11.95
10.2,1.917,14.89
10.25,1.48,11.16
10.3,1.056,7.439
10.35,0.7386,4.641
10.4,0.5136,2.673
10.45,0.3568,1.315
10.5,0.248,0.3876
10.55,0.1725,-0.2395
10.6,0.1203,-0.6586
10.65,0.08408,-0.9335
10.7,0.05901,-1.109
10.75,0.04165,-1.214
10.8,0.02962,-1.272
10.85,0.02129,-1.297
10.9,0.01552,-1.299
10.95,0.01152,-1.285
11,0.008754,-1.26
11.05,0.006837,-1.227
11.1,0.005508,-1.189
11.15,0.004588,-1.147
11.2,0.003951,-1.103
