result
402,3
     0,     0,     0
    -5, 1.929,     0
-4.975, 1.929,     0
 -4.95, 1.928,     0
-4.925, 1.928,     0
  -4.9, 1.927,     0
-4.875, 1.927,     0
 -4.85, 1.926,     0
-4.825, 1.925,     0
  -4.8, 1.925,     0
-4.775, 1.924,     0
 -4.75, 1.924,     0
-4.725, 1.923,     0
  -4.7, 1.923,     0
-4.675, 1.922,     0
 -4.65, 1.921,     0
-4.625, 1.921,     0
  -4.6,  1.92,     0
-4.575,  1.92,     0
 -4.55, 1.919,     0
-4.525, 1.918,     0
  -4.5, 1.918,     0
-4.475, 1.917,     0
 -4.45, 1.917,     0
-4.425, 1.916,     0
  -4.4, 1.915,     0
-4.375, 1.915,     0
 -4.35, 1.914,     0
-4.325, 1.913,     0
  -4.3, 1.913,     0
-4.275, 1.912,     0
 -4.25, 1.911,     0
-4.225, 1.911,     0
  -4.2,  1.91,     0
-4.175, 1.909,     0
 -4.15, 1.908,     0
-4.125, 1.908,     0
  -4.1, 1.907,     0
-4.075, 1.906,     0
 -4.05, 1.905,     0
-4.025, 1.904,     0
    -4, 1.904,     0
-3.975, 1.903,     0
 -3.95, 1.902,     0
-3.925, 1.901,     0
  -3.9,   1.9,     0
-3.875, 1.899,     0
 -3.85, 1.898,     0
-3.825, 1.897,     0
  -3.8, 1.896,     0
-3.775, 1.895,     0
 -3.75, 1.894,     0
-3.725, 1.893,     0
  -3.7, 1.892,     0
-3.675, 1.891,     0
 -3.65,  1.89,     0
-3.625, 1.889,     0
  -3.6, 1.888,     0
-3.575, 1.887,     0
 -3.55, 1.885,     0
-3.525, 1.884,     0
  -3.5, 1.883,     0
-3.475, 1.881,     0
 -3.45,  1.88,     0
-3.425, 1.879,     0
  -3.4, 1.877,     0
-3.375, 1.876,     0
 -3.35, 1.874,     0
-3.325, 1.873,     0
  -3.3, 1.871,     0
-3.275, 1.869,     0
 -3.25, 1.868,     0
-3.225, 1.866,     0
  -3.2, 1.864,     0
-3.175, 1.862,     0
 -3.15,  1.86,     0
-3.125, 1.858,     0
  -3.1, 1.856,     0
-3.075, 1.854,     0
 -3.05, 1.852,     0
-3.025,  1.85,     0
    -3, 1.847,     0
-2.975, 1.845,     0
 -2.95, 1.842,     0
-2.925,  1.84,     0
  -2.9, 1.837,     0
-2.875, 1.834,     0
 -2.85, 1.832,     0
-2.825, 1.829,     0
  -2.8, 1.826,     0
-2.775, 1.823,     0
 -2.75, 1.819,     0
