result
402,3
     0,0.0002418,0.0009871
    -5,-1.537,0.02139
-4.975,-1.537,0.0009871
 -4.95,-1.538,1.024e-306
-4.925,-1.538,1.024e-306
  -4.9,-1.538,     0
-4.875,-1.539,1.024e-306
 -4.85,-1.539,     0
-4.825,-1.539,1.024e-306
  -4.8, -1.54,     0
-4.775, -1.54,1.024e-306
 -4.75, -1.54,2.901e-005
-4.725,-1.541,1.024e-306
  -4.7,-1.541,     0
-4.675,-1.541,-1.322
 -4.65,-1.542,-1.865
-4.625,-1.542,     0
  -4.6,-1.542,     0
-4.575,-1.543,     0
 -4.55,-1.543,     0
-4.525,-1.543,     0
  -4.5,-1.544,     0
-4.475,-1.544,     0
 -4.45,-1.544,     0
-4.425,-1.545,     0
  -4.4,-1.545,     0
-4.375,-1.545,     0
 -4.35,-1.545,     0
-4.325,-1.546,     0
  -4.3,-1.546,     0
-4.275,-1.546,     0
 -4.25,-1.547,     0
-4.225,-1.547,     0
  -4.2,-1.547,     0
-4.175,-1.548,     0
 -4.15,-1.548,     0
-4.125,-1.548,     0
  -4.1,-1.548,     0
-4.075,-1.549,     0
 -4.05,-1.549,     0
-4.025,-1.549,     0
    -4, -1.55,     0
-3.975, -1.55,     0
 -3.95, -1.55,     0
-3.925,-1.551,     0
  -3.9,-1.551,     0
-3.875,-1.551,     0
 -3.85,-1.551,     0
-3.825,-1.552,     0
  -3.8,-1.552,     0
-3.775,-1.552,     0
 -3.75,-1.553,     0
-3.725,-1.553,     0
  -3.7,-1.553,     0
-3.675,-1.553,     0
 -3.65,-1.554,     0
-3.625,-1.554,     0
  -3.6,-1.554,     0
-3.575,-1.555,     0
 -3.55,-1.555,     0
-3.525,-1.555,     0
  -3.5,-1.555,     0
-3.475,-1.556,     0
 -3.45,-1.556,     0
-3.425,-1.556,     0
  -3.4,-1.557,     0
-3.375,-1.557,     0
 -3.35,-1.557,     0
-3.325,-1.557,     0
  -3.3,-1.558,     0
-3.275,-1.558,     0
 -3.25,-1.558,     0
-3.225,-1.559,     0
  -3.2,-1.559,     0
-3.175,-1.559,     0
 -3.15,-1.559,     0
-3.125, -1.56,     0
  -3.1, -1.56,     0
-3.075, -1.56,     0
 -3.05,-1.561,     0
-3.025,-1.561,     0
    -3,-1.561,     0
-2.975,-1.561,     0
 -2.95,-1.562,     0
-2.925,-1.562,     0
  -2.9,-1.562,     0
-2.875,-1.562,     0
 -2.85,-1.563,     0
-2.825,-1.563,     0
  -2.8,-1.563,     0
-2.775,-1.564,     0
 -2.75,-1.564,     0
-2.725,-1.564,     0
  -2.7,-1.565,     0
-2.675,-1.565,     0
 -2.65,-1.565,     0
-2.625,-1.565,     0
  -2.6,-1.566,     0
-2.575,-1.566,     0
 -2.55,-1.566,     0
-2.525,-1.567,     0
  -2.5,-1.567,     0
-2.475,-1.567,     0
 -2.45,-1.568,     0
-2.425,-1.568,     0
  -2.4,-1.568,     0
-2.375,-1.569,     0
 -2.35,-1.569,     0
-2.325, -1.57,     0
  -2.3, -1.57,     0
-2.275, -1.57,     0
 -2.25,-1.571,     0
-2.225,-1.571,     0
  -2.2,-1.572,     0
-2.175,-1.572,     0
 -2.15,-1.572,     0
-2.125,-1.573,     0
  -2.1,-1.573,     0
-2.075,-1.574,     0
 -2.05,-1.574,     0
-2.025,-1.575,     0
    -2,-1.575,     0
-1.975,-1.576,     0
 -1.95,-1.576,     0
-1.925,-1.577,     0
  -1.9,-1.577,     0
-1.875,-1.578,     0
 -1.85,-1.578,     0
-1.825,-1.579,     0
  -1.8,-1.579,     0
-1.775, -1.58,     0
 -1.75, -1.58,     0
-1.725, -1.58,     0
  -1.7, -1.58,     0
-1.675, -1.58,     0
 -1.65, -1.58,     0
-1.625, -1.58,     0
  -1.6,-1.579,     0
-1.575,-1.578,     0
 -1.55,-1.577,     0
-1.525,-1.575,     0
  -1.5,-1.573,     0
-1.475,-1.569,     0
 -1.45,-1.566,     0
-1.425,-1.561,     0
  -1.4,-1.555,     0
-1.375,-1.547,     0
 -1.35,-1.538,     0
-1.325,-1.527,     0
  -1.3,-1.513,     0
-1.275,-1.497,     0
 -1.25,-1.478,     0
-1.225,-1.455,     0
  -1.2,-1.428,     0
-1.175,-1.396,     0
 -1.15,-1.358,     0
-1.125,-1.315,     0
  -1.1,-1.264,     0
-1.075,-1.206,     0
 -1.05, -1.14,     0
-1.025,-1.066,     0
    -1,-0.9827, -0.96
-0.975,-0.8905,     0
 -0.95,-0.7896,     0
-0.925,-0.6804,     0
  -0.9,-0.5641,-0.577
-0.875,-0.4419,     0
 -0.85,-0.3157,     0
-0.825,-0.1877,     0
  -0.8,-0.06017,-0.073
-0.775,0.06406,     0
 -0.75,0.1823,     0
-0.725, 0.292,     0
  -0.7,0.3907, 0.377
-0.675,0.4764,     0
 -0.65,0.5476,     0
-0.625, 0.603,     0
  -0.6,0.6422, 0.641
-0.575, 0.665,     0
 -0.55,0.6719,     0
-0.525,0.6635,     0
  -0.5,0.6409,  0.66
-0.475,0.6056,     0
 -0.45,0.5589,     0
-0.425,0.5025,     0
  -0.4,0.4382, 0.461
-0.375,0.3675,     0
 -0.35,0.2921,     0
-0.325,0.2136,     0
  -0.3,0.1336, 0.134
-0.275,0.05343,     0
 -0.25,-0.02555,     0
-0.225,-0.1021,     0
  -0.2,-0.1751,-0.201
-0.175,-0.2433,     0
 -0.15,-0.3059,     0
-0.125,-0.3617,     0
  -0.1,-0.4098,-0.434
-0.075,-0.4494,     0
 -0.05,-0.4794,     0
-0.025,-0.4991,     0
3.823e-015,-0.5078,  -0.5
 0.025,-0.5049,     0
  0.05,-0.4901,     0
 0.075,-0.4633,     0
   0.1,-0.4248,-0.393
 0.125,-0.3754,     0
  0.15,-0.3163,     0
 0.175,-0.2492,     0
   0.2,-0.1763,-0.165
 0.225,-0.09987,     0
  0.25,-0.0226,     0
 0.275,0.0529,     0
   0.3,0.1242, 0.099
 0.325,0.1891,     0
  0.35, 0.246,     0
 0.375,0.2936,     0
   0.4,0.3311, 0.307
 0.425,0.3584,     0
  0.45,0.3756,     0
 0.475,0.3831,     0
   0.5,0.3817, 0.396
 0.525,0.3721,     0
  0.55,0.3555,     0
 0.575,0.3327,     0
   0.6,0.3046, 0.345
 0.625,0.2723,     0
  0.65,0.2365,     0
 0.675,0.1981,     0
   0.7,0.1576, 0.182
 0.725,0.1158,     0
  0.75,0.07303,     0
