National Instruments VirtualBench-Scope 2.1.1 Report
Date Created:	10/26/99	3:08:28 PM

USER NAME:	FeederA
COMMENTS:	
START DATA
Time	Ch 0
0.000000	6.446392
0.000500	6.447632
0.001000	6.447632
0.001500	6.447012
0.002000	6.447012
0.002500	6.445772
0.003000	6.448252
0.003500	6.445772
0.004000	6.440813
0.004500	6.440193
0.005000	6.436473
0.005500	6.437093
0.006000	6.433993
0.006500	6.433373
0.007000	6.433373
0.007500	6.428413
0.008000	6.424694
0.008500	6.421594
0.009000	6.419114
0.009500	6.418494
0.010000	6.414154
0.010500	6.410434
0.011000	6.403615
0.011500	6.401755
0.012000	6.389976
0.012500	6.385636
0.013000	6.382536
0.013500	6.375096
0.014000	6.368896
0.014500	6.364557
0.015000	6.360217
0.015500	6.356497
0.016000	6.351538
0.016500	6.344718
0.017000	6.339139
0.017500	6.333559
0.018000	6.332319
0.018500	6.327359
0.019000	6.323019
0.019500	6.320539
0.020000	6.318679
0.020500	6.311860
0.021000	6.308760
0.021500	6.307520
0.022000	6.308140
0.022500	6.306280
0.023000	6.306900
0.023500	6.306900
0.024000	6.306900
0.024500	6.308760
0.025000	6.311240
0.025500	6.311860
0.026000	6.315580
0.026500	6.323019
0.027000	6.322399
0.027500	6.325499
0.028000	6.327979
0.028500	6.331699
0.029000	6.331699
0.029500	6.334178
0.030000	6.337278
0.030500	6.342858
0.031000	6.342858
0.031500	6.349678
0.032000	6.355877
0.032500	6.359597
0.033000	6.362697
0.033500	6.365177
0.034000	6.369517
0.034500	6.372616
0.035000	6.376956
0.035500	6.380676
0.036000	6.385636
0.036500	6.388115
0.037000	6.388735
0.037500	6.391215
0.038000	6.397415
0.038500	6.401135
0.039000	6.404855
0.039500	6.407954
0.040000	6.412914
0.040500	6.416014
0.041000	6.419114
0.041500	6.419114
0.042000	6.422214
0.042500	6.430273
0.043000	6.430273
0.043500	6.430273
0.044000	6.433373
0.044500	6.436473
0.045000	6.436473
0.045500	6.433373
0.046000	6.433993
0.046500	6.431513
0.047000	6.430273
0.047500	6.432133
0.048000	6.430893
0.048500	6.430273
0.049000	6.425933
0.049500	6.424694
0.050000	6.422214
0.050500	6.419734
0.051000	6.417254
0.051500	6.413534
0.052000	6.410434
0.052500	6.406095
0.053000	6.402995
0.053500	6.398655
0.054000	6.388115
0.054500	6.386256
0.055000	6.381296
0.055500	6.377576
0.056000	6.376336
0.056500	6.370757
0.057000	6.367657
0.057500	6.364557
0.058000	6.359597
0.058500	6.354638
0.059000	6.353397
0.059500	6.351538
0.060000	6.348438
0.060500	6.345338
0.061000	6.343478
0.061500	6.340378
0.062000	6.333559
0.062500	6.332939
0.063000	6.329219
0.063500	6.327359
0.064000	6.326119
0.064500	6.325499
0.065000	6.324259
0.065500	6.326119
0.066000	6.325499
0.066500	6.325499
0.067000	6.326119
0.067500	6.327359
0.068000	6.327359
0.068500	6.329839
0.069000	6.329839
0.069500	6.332319
0.070000	6.333559
0.070500	6.333559
0.071000	6.335419
0.071500	6.337278
0.072000	6.340378
0.072500	6.342858
0.073000	6.346578
0.073500	6.352158
0.074000	6.356497
0.074500	6.358977
0.075000	6.362077
0.075500	6.368277
0.076000	6.370757
0.076500	6.377576
0.077000	6.378196
0.077500	6.381296
0.078000	6.381916
0.078500	6.386876
0.079000	6.385016
0.079500	6.388115
0.080000	6.389356
0.080500	6.389976
0.081000	6.390595
0.081500	6.392455
0.082000	6.393695
0.082500	6.394935
0.083000	6.396175
0.083500	6.394935
0.084000	6.394935
0.084500	6.394935
0.085000	6.396175
0.085500	6.395555
0.086000	6.394935
0.086500	6.394315
0.087000	6.391215
0.087500	6.391215
0.088000	6.386876
0.088500	6.388735
0.089000	6.391215
0.089500	6.385636
0.090000	6.389356
0.090500	6.389976
0.091000	6.389356
0.091500	6.387496
0.092000	6.386876
0.092500	6.391835
0.093000	6.391835
0.093500	6.388735
0.094000	6.388735
0.094500	6.388115
0.095000	6.385636
0.095500	6.380056
0.096000	6.379436
0.096500	6.378196
0.097000	6.375096
0.097500	6.374476
0.098000	6.373857
0.098500	6.371996
0.099000	6.371377
0.099500	6.370137
0.100000	6.369517
