 ASCII output data for Electronics Workbench circuit lpf2.ewb
        Time           V1           V2           V3           V4
           0            0            0            0            0
       5e-05      6.34149     0.015775  3.92414e-05  9.78589e-08
 5.28088e-05      6.34149    0.0166609  4.15696e-05  1.03682e-07
 5.84263e-05      6.34147    0.0184322  4.64733e-05  1.16016e-07
 6.96613e-05      6.34145    0.0219719  5.77634e-05   1.4522e-07
 9.21314e-05      6.34139    0.0290392  8.62574e-05  2.25916e-07
 0.000137072      6.34128    0.0431264  0.000166768  5.09365e-07
 0.000220093      6.34107    0.0689848  0.000397123   1.6752e-06
 0.000332554      6.34079     0.103673  0.000875417  5.23355e-06
      0.0005      6.34038     0.154608    0.0019332  1.68982e-05
 0.000510811       6.3403     0.157865   0.00201636  1.79784e-05
 0.000532433      6.34014     0.164374   0.00218603  2.02294e-05
 0.000575678      6.33981     0.177348   0.00254529  2.52953e-05
 0.000662166      6.33917      0.20313   0.00334264  3.78896e-05
 0.000835144      6.33788     0.254035   0.00524583  7.45437e-05
       0.001      6.33666     0.301743   0.00743273  0.000125971
   0.0010205      6.33661     0.307615   0.00773234   0.00013376
   0.0010615      6.33651     0.319337   0.00834235  0.000149947
  0.00114351       6.3363     0.342641   0.00962651  0.000186096
  0.00130752       6.3359     0.388694    0.0124461  0.000274711
      0.0015      6.33542     0.441813    0.0161703  0.000409121
  0.00153444      6.33521     0.451196    0.0168898   0.00043745
  0.00160331      6.33478     0.469901     0.018356   0.00049653
  0.00174106      6.33392     0.506937    0.0214497  0.000629731
       0.002      6.33232      0.57524    0.0278274  0.000938574
  0.00204815      6.33232     0.587726    0.0291047   0.00100622
  0.00214446      6.33232     0.612585    0.0317069   0.00114745
  0.00233707      6.33232     0.661629    0.0371916   0.00146663
      0.0025      6.33232     0.702426     0.042115   0.00177646
  0.00257651       6.3309     0.721296    0.0445408   0.00193942
  0.00272952      6.32805     0.758756    0.0494991     0.002283
       0.003      6.32302     0.823635    0.0587707   0.00297954
  0.00309421      6.32302     0.845745    0.0621841   0.00325712
  0.00328263      6.32302     0.889585    0.0691545   0.00384235
      0.0035      6.32302     0.939227    0.0775441    0.0045937
  0.00363516      6.32302     0.969417    0.0830082   0.00512008
  0.00390549      6.32302      1.02907    0.0941959   0.00624087
       0.004      6.32302      1.04958    0.0982284   0.00666503
  0.00414309      6.32231       1.0801     0.104513   0.00736009
  0.00442926      6.32089      1.14037      0.11734   0.00883146
      0.0045      6.32054      1.15503      0.12059   0.00922033
  0.00467777       6.3212      1.19119     0.128976    0.0102754
       0.005       6.3224      1.25582     0.144465    0.0122963
  0.00526043       6.3224      1.30618     0.157555    0.0141635
      0.0055       6.3224      1.35203     0.169736    0.0159434
  0.00580584      6.32316      1.40849     0.185873    0.0185029
       0.006      6.32364      1.44404     0.196197    0.0201697
  0.00636098      6.32319      1.50764     0.216037    0.0236422
      0.0065      6.32302        1.532     0.223713    0.0250015
  0.00691787      6.32406      1.60234     0.247468    0.0295545
       0.007      6.32426      1.61612     0.252148    0.0304571
      0.0075      6.32488      1.69645     0.281404    0.0365778
       0.008      6.32612       1.7737     0.311265    0.0432775
      0.0085      6.33356      1.84818     0.341651    0.0505549
       0.009       6.3317      1.91979     0.372482    0.0584067
      0.0095      6.33046      1.98871     0.403686    0.0668282
        0.01      6.33418      2.05518     0.435201    0.0758129
      0.0105      6.33604      2.11929     0.466968    0.0853533
       0.011      6.33852      2.18117     0.498937    0.0954407
      0.0115      6.33666      2.24082     0.531056     0.106065
       0.012      6.33914      2.29846     0.563284     0.117217
      0.0125      6.34038      2.35415     0.595581     0.128885
       0.013      6.34348      2.40804     0.627913     0.141056
      0.0135      6.34534      2.46017     0.660247     0.153719
       0.014      6.34968      2.51069     0.692558     0.166862
      0.0145      6.35216      2.55963      0.72482      0.18047
       0.015      6.35464      2.60707     0.757009     0.194532
      0.0155      6.35774      2.65309     0.789107     0.209034
       0.016      6.36084      2.69775     0.821095     0.223962
      0.0165      6.36518      2.74114     0.852958     0.239304
       0.017      6.36704      2.78327     0.884682     0.255045
      0.0175      6.37014      2.82422     0.916254     0.271172
       0.018      6.37386      2.86406     0.947664     0.287671
      0.0185      6.38006      2.90289     0.978904     0.304531
       0.019      6.38316      2.94068      1.00997     0.321737
      0.0195       6.3875      2.97751      1.04084     0.339276
        0.02      6.38812      3.01334      1.07153     0.357136
      0.0205      6.38936      3.04821      1.10202     0.375303
       0.021      6.39494      3.08228       1.1323     0.393767
      0.0215      6.40052      3.11557      1.16238     0.412514
       0.022      6.40423      3.14808      1.19226     0.431532
      0.0225      6.40795      3.17984      1.22193      0.45081
       0.023      6.41415      3.21093      1.25139     0.470336
      0.0235      6.41663      3.24129      1.28065       0.4901
       0.024      6.41849      3.27095      1.30969      0.51009
      0.0245      6.42283      3.29999      1.33852     0.530295
       0.025      6.42841      3.32845      1.36714     0.550706
      0.0255      6.43027      3.35628      1.39555     0.571312
       0.026      6.43461      3.38356      1.42376     0.592104
      0.0265      6.43771      3.41029      1.45175     0.613071
       0.027      6.43895      3.43643      1.47954     0.634204
      0.0275      6.44143      3.46204      1.50712     0.655495
       0.028      6.43709      3.48698       1.5345     0.676934
      0.0285      6.43895      3.51142      1.56166     0.698513
       0.029      6.43957      3.53536      1.58862     0.720223
      0.0295      6.43895      3.55878      1.61537     0.742056
        0.03      6.43833       3.5817      1.64192     0.764003
      0.0305      6.43957      3.60419      1.66826     0.786059
       0.031      6.43895      3.62621       1.6944     0.808213
      0.0315      6.43957      3.64782      1.72034      0.83046
       0.032      6.43833      3.66898      1.74608     0.852793
      0.0325      6.43647       3.6897      1.77162     0.875203
       0.033      6.43709      3.71005      1.79697     0.897685
      0.0335      6.43461      3.72997      1.82212     0.920232
       0.034      6.43275      3.74949      1.84707     0.942838
      0.0345      6.43213      3.76865      1.87183     0.965497
       0.035      6.42841       3.7874       1.8964     0.988202
      0.0355      6.42717      3.80581      1.92078      1.01095
       0.036      6.42469      3.82386      1.94498      1.03373
      0.0365      6.41787      3.84146      1.96898      1.05654
       0.037      6.41415       3.8587      1.99279      1.07937
      0.0375      6.40919      3.87556      2.01641      1.10223
       0.038      6.40795      3.89215      2.03985       1.1251
      0.0385      6.40362       3.9084      2.06311      1.14798
       0.039      6.40362      3.92442      2.08618      1.17086
      0.0395       6.3999      3.94014      2.10907      1.19374
        0.04      6.39556      3.95554      2.13179      1.21662
      0.0405       6.3937      3.97071      2.15433      1.23949
       0.041      6.38998       3.9856      2.17669      1.26235
      0.0415      6.38688      4.00023      2.19888      1.28519
       0.042      6.38378      4.01461       2.2209      1.30802
      0.0425      6.38378      4.02884      2.24276      1.33081
       0.043      6.37696      4.04273      2.26444      1.35359
      0.0435        6.372      4.05636      2.28596      1.37633
       0.044       6.3689      4.06978      2.30731      1.39903
      0.0445      6.36518      4.08297      2.32851       1.4217
       0.045       6.3565      4.09583      2.34953      1.44433
      0.0455      6.35278      4.10849       2.3704      1.46692
       0.046      6.34906      4.12094       2.3911      1.48946
      0.0465       6.3441      4.13318      2.41165      1.51195
       0.047      6.34038      4.14523      2.43204      1.53439
      0.0475      6.33666       4.1571      2.45227      1.55678
       0.048      6.33356       4.1688      2.47235      1.57911
      0.0485      6.33232       4.1804      2.49228      1.60139
       0.049      6.32736       4.1918      2.51206       1.6236
      0.0495      6.32426      4.20304       2.5317      1.64575
        0.05       6.3193       4.2141      2.55119      1.66783
      0.0505      6.31558        4.225      2.57053      1.68985
       0.051      6.31372       4.2358      2.58974       1.7118
      0.0515      6.31372      4.24653       2.6088      1.73367
       0.052      6.31186      4.25717      2.62773      1.75548
      0.0525      6.30876      4.26766      2.64653      1.77721
       0.053      6.30504      4.27802      2.66519      1.79887
      0.0535      6.30318      4.28828      2.68372      1.82045
       0.054       6.3038       4.2985      2.70213      1.84196
      0.0545      6.30566      4.30872      2.72041      1.86338
       0.055      6.30566      4.31888      2.73857      1.88473
      0.0555      6.30628        4.329      2.75661      1.90599
       0.056      6.30938      4.33914      2.77454      1.92718
      0.0565      6.31124      4.34927      2.79236      1.94828
       0.057      6.31186      4.35935      2.81008       1.9693
      0.0575       6.3131       4.3694      2.82768      1.99024
       0.058      6.31558      4.37945      2.84519      2.01109
      0.0585       6.3224      4.38959      2.86259      2.03186
       0.059      6.32426      4.39971      2.87991      2.05254
      0.0595      6.32488      4.40977      2.89712      2.07314
        0.06      6.32984      4.41988      2.91425      2.09365
      0.0605      6.33232      4.42997      2.93128      2.11408
       0.061      6.33666      4.44009      2.94824      2.13443
      0.0615      6.33604      4.45011       2.9651      2.15469
       0.062       6.3379       4.4601      2.98188      2.17487
      0.0625      6.34286      4.47013      2.99858      2.19496
       0.063      6.34596      4.48015       3.0152      2.21496
      0.0635      6.35092      4.49021      3.03174      2.23488
       0.064      6.35526      4.50028       3.0482      2.25472
      0.0645      6.36022      4.51038      3.06459      2.27447
       0.065      6.36332      4.52046      3.08091      2.29414
      0.0655      6.36642      4.53053      3.09716      2.31373
       0.066      6.37138      4.54061      3.11334      2.33323
      0.0665      6.37448      4.55068      3.12945      2.35265
       0.067      6.37758      4.56072      3.14549      2.37199
      0.0675      6.38254      4.57078      3.16147      2.39124
       0.068      6.38564      4.58081      3.17738      2.41042
      0.0685       6.3906      4.59087      3.19323      2.42951
       0.069      6.39432       4.6009      3.20902      2.44852
      0.0695      6.39556      4.61087      3.22474      2.46746
        0.07      6.39742      4.62078      3.24039      2.48631
      0.0705      6.39989      4.63064      3.25599      2.50508
       0.071      6.40299      4.64048      3.27152      2.52377
      0.0715      6.40548      4.65028      3.28699      2.54239
       0.072      6.41043      4.66009      3.30239      2.56093
      0.0725      6.41167      4.66984      3.31774      2.57938
       0.073      6.41477      4.67955      3.33302      2.59777
      0.0735      6.41725      4.68923      3.34824      2.61607
       0.074      6.41725       4.6988       3.3634       2.6343
      0.0745      6.42035      4.70836      3.37849      2.65245
       0.075      6.42345      4.71789      3.39353      2.67052
      0.0755      6.42469      4.72735       3.4085      2.68852
       0.076      6.42655      4.73676      3.42341      2.70645
      0.0765      6.42717      4.74609      3.43825       2.7243
       0.077      6.42655      4.75532      3.45304      2.74207
      0.0775      6.42593      4.76444      3.46775      2.75977
       0.078      6.42097      4.77335       3.4824      2.77739
      0.0785      6.41973      4.78216      3.49698      2.79495
       0.079      6.41911      4.79088      3.51149      2.81242
      0.0795      6.41477      4.79943      3.52592      2.82982
        0.08      6.41539      4.80793      3.54029      2.84715
      0.0805      6.41229      4.81628      3.55458      2.86441
       0.081      6.41043      4.82454      3.56879      2.88159
      0.0815      6.40733      4.83266      3.58293      2.89869
       0.082      6.40486      4.84067      3.59699      2.91572
      0.0825      6.40114      4.84855      3.61097      2.93268
       0.083      6.39741      4.85629      3.62487      2.94956
      0.0835      6.39555      4.86395       3.6387      2.96637
       0.084       6.3906      4.87145      3.65244      2.98311
      0.0845      6.38873      4.87888       3.6661      2.99976
       0.085      6.38254      4.88613      3.67968      3.01635
      0.0855      6.38006      4.89329      3.69317      3.03285
       0.086      6.37758      4.90038      3.70658      3.04929
      0.0865       6.3689      4.90724      3.71991      3.06564
       0.087      6.36456      4.91398      3.73315      3.08192
      0.0875      6.36146      4.92064       3.7463      3.09813
       0.088      6.35898      4.92724      3.75937      3.11426
      0.0885      6.35588      4.93376      3.77236      3.13031
       0.089      6.35278       4.9402      3.78526      3.14628
      0.0895       6.3503      4.94658      3.79807      3.16218
        0.09      6.34906      4.95293       3.8108        3.178
      0.0905      6.34534      4.95919      3.82345      3.19374
       0.091      6.34162      4.96536      3.83602      3.20941
      0.0915      6.34224      4.97155      3.84851        3.225
       0.092      6.34162      4.97773      3.86092      3.24051
      0.0925      6.34286      4.98394      3.87325      3.25594
       0.093       6.3379      4.99002      3.88551      3.27129
      0.0935       6.3379       4.9961      3.89769      3.28657
       0.094      6.33666      5.00216       3.9098      3.30177
      0.0945      6.33542      5.00818      3.92184       3.3169
       0.095      6.32922      5.01405       3.9338      3.33194
      0.0955       6.3286      5.01991      3.94568      3.34691
       0.096      6.32984      5.02581       3.9575       3.3618
      0.0965      6.32612      5.03161      3.96924      3.37662
       0.097      6.32984       5.0375      3.98092      3.39136
      0.0975      6.32922      5.04338      3.99253      3.40602
       0.098      6.32984      5.04926      4.00407      3.42061
      0.0985      6.33046      5.05516      4.01555      3.43512
       0.099      6.33046      5.06104      4.02697      3.44955
      0.0995      6.33294      5.06697      4.03832      3.46391
         0.1       6.3348      5.07294      4.04962       3.4782
      0.1005      6.33604      5.07891      4.06086      3.49241
       0.101      6.33728       5.0849      4.07204      3.50655
      0.1015      6.34162      5.09097      4.08317      3.52061
       0.102      6.34348      5.09706      4.09425       3.5346
      0.1025       6.3472      5.10321      4.10528      3.54852
       0.103       6.3441      5.10926      4.11626      3.56237
      0.1035      6.34658      5.11534      4.12719      3.57615
       0.104      6.34968      5.12146      4.13807      3.58985
      0.1045      6.35526      5.12768       4.1489      3.60349
       0.105      6.36084      5.13399      4.15969      3.61705
      0.1055      6.36146      5.14027      4.17044      3.63055
       0.106      6.36828      5.14668      4.18115      3.64398
      0.1065      6.37324      5.15315      4.19182      3.65734
       0.107      6.37696      5.15965      4.20246      3.67064
      0.1075      6.38068      5.16618      4.21305      3.68387
       0.108      6.38378      5.17273      4.22362      3.69703
      0.1085      6.39494      5.17948      4.23415      3.71013
       0.109      6.39494      5.18616      4.24465      3.72317
      0.1095      6.39741      5.19284      4.25512      3.73614
        0.11      6.40114      5.19953      4.26556      3.74905
      0.1105      6.40423      5.20622      4.27596      3.76191
       0.111      6.40733      5.21292      4.28633       3.7747
      0.1115      6.40671      5.21953      4.29667      3.78743
       0.112      6.40857      5.22611      4.30698       3.8001
      0.1125      6.41105      5.23268      4.31725      3.81271
       0.113      6.41105      5.23919      4.32749      3.82527
      0.1135      6.41477      5.24571      4.33769      3.83777
       0.114      6.41725      5.25223      4.34786      3.85021
      0.1145      6.41663      5.25866      4.35799      3.86259
       0.115      6.41849      5.26507      4.36809      3.87492
      0.1155      6.41973      5.27145      4.37815       3.8872
       0.116      6.41725       5.2777      4.38817      3.89941
      0.1165      6.41849      5.28392      4.39815      3.91158
       0.117      6.41725      5.29005      4.40808      3.92369
      0.1175      6.41973      5.29618      4.41798      3.93574
       0.118      6.41911      5.30224      4.42784      3.94775
      0.1185      6.41725      5.30821      4.43766       3.9597
       0.119      6.41787      5.31413      4.44743      3.97159
      0.1195      6.41477      5.31993      4.45715      3.98343
        0.12      6.41105       5.3256      4.46683      3.99522
      0.1205      6.40795      5.33115      4.47646      4.00696
       0.121      6.40671      5.33664      4.48604      4.01865
      0.1215      6.40548      5.34206      4.49557      4.03028
       0.122      6.40486      5.34744      4.50505      4.04186
      0.1225      6.40362      5.35275      4.51448      4.05339
       0.123      6.40175      5.35799      4.52386      4.06486
      0.1235      6.39741       5.3631      4.53319      4.07628
       0.124      6.39618      5.36816      4.54246      4.08765
      0.1245      6.39618       5.3732      4.55168      4.09897
       0.125      6.39494      5.37818      4.56085      4.11024
      0.1255      6.39245      5.38309      4.56996      4.12145
       0.126      6.38873      5.38789      4.57902      4.13261
      0.1265      6.38688      5.39263      4.58803      4.14372
       0.127       6.3844       5.3973      4.59698      4.15477
      0.1275      6.38068      5.40187      4.60588      4.16578
       0.128      6.37448      5.40629      4.61472      4.17673
      0.1285      6.37262      5.41066       4.6235      4.18762
       0.129      6.37014      5.41497      4.63223      4.19847
      0.1295      6.36518      5.41916      4.64089      4.20926
        0.13       6.3627       5.4233       4.6495      4.21999
      0.1305      6.36208      5.42743      4.65805      4.23068
       0.131      6.35898      5.43149      4.66654      4.24131
      0.1315      6.35588      5.43549      4.67498      4.25189
       0.132       6.3534      5.43944      4.68336      4.26241
      0.1325      6.35278      5.44338      4.69168      4.27288
       0.133      6.34844      5.44723      4.69994       4.2833
      0.1335      6.34596      5.45103      4.70815      4.29366
       0.134      6.34596      5.45484      4.71631      4.30397
      0.1345      6.34534      5.45865      4.72441      4.31422
       0.135      6.34286      5.46242      4.73246      4.32442
      0.1355      6.34286      5.46619      4.74045      4.33457
       0.136      6.34162      5.46994       4.7484      4.34466
      0.1365      6.33666      5.47359      4.75629       4.3547
       0.137      6.33666      5.47724      4.76413      4.36469
      0.1375       6.3379      5.48094      4.77193      4.37462
       0.138      6.33666      5.48462      4.77967       4.3845
      0.1385      6.33604      5.48829      4.78737      4.39433
       0.139      6.34038      5.49207      4.79502       4.4041
      0.1395      6.34286      5.49591      4.80263      4.41382
        0.14       6.3441      5.49978       4.8102      4.42349
      0.1405      6.34348      5.50363      4.81774       4.4331
       0.141       6.3472      5.50756      4.82523      4.44267
      0.1415      6.34844      5.51152      4.83269      4.45218
       0.142      6.35092      5.51552      4.84011      4.46164
      0.1425      6.35588      5.51962       4.8475      4.47105
       0.143      6.35774      5.52375      4.85486      4.48041
      0.1435      6.35712      5.52784      4.86219      4.48973
       0.144      6.36084        5.532      4.86949      4.49899
      0.1445      6.36394       5.5362      4.87676       4.5082
       0.145      6.36022      5.54029      4.88401      4.51737
      0.1455      6.36394      5.54445      4.89122      4.52649
       0.146      6.36518      5.54861       4.8984      4.53556
      0.1465      6.36642      5.55277      4.90556      4.54458
       0.147      6.36952      5.55698      4.91269      4.55356
      0.1475        6.372      5.56121      4.91979      4.56249
       0.148      6.37634      5.56551      4.92687      4.57138
      0.1485      6.37634      5.56978      4.93392      4.58022
       0.149      6.37882      5.57407      4.94095      4.58902
      0.1495      6.38192       5.5784      4.94796      4.59777
        0.15      6.38626      5.58279      4.95494      4.60649
      0.1505      6.38626      5.58714      4.96191      4.61516
       0.151      6.39121      5.59156      4.96885      4.62378
      0.1515      6.39431      5.59601      4.97577      4.63237
       0.152      6.39741      5.60049      4.98267      4.64091
      0.1525      6.39928      5.60496      4.98955      4.64941
       0.153       6.3968      5.60933      4.99641      4.65788
      0.1535      6.40175      5.61376      5.00325       4.6663
       0.154      6.40299      5.61818      5.01007      4.67469
      0.1545      6.40857      5.62268      5.01687      4.68303
       0.155      6.41291      5.62723      5.02365      4.69134
      0.1555      6.41291      5.63173      5.03041      4.69961
       0.156      6.41787      5.63629      5.03716      4.70784
      0.1565      6.41787       5.6408      5.04388      4.71604
       0.157      6.42345      5.64538      5.05059       4.7242
      0.1575      6.42469      5.64993      5.05729      4.73232
       0.158      6.42779       5.6545      5.06396      4.74041
      0.1585      6.43151       5.6591      5.07062      4.74846
       0.159      6.43275      5.66367      5.07726      4.75648
      0.1595      6.43275      5.66817      5.08388      4.76447
        0.16      6.43523      5.67268      5.09048      4.77242
      0.1605      6.43523      5.67713      5.09707      4.78034
       0.161      6.43585      5.68154      5.10363      4.78822
      0.1615      6.42903      5.68574      5.11017      4.79608
       0.162      6.42903      5.68988      5.11668       4.8039
      0.1625      6.42717      5.69394      5.12316      4.81168
       0.163      6.42531      5.69792      5.12961      4.81944
      0.1635      6.42221      5.70179      5.13604      4.82716
       0.164      6.41973      5.70556      5.14242      4.83485
      0.1645      6.41911       5.7093      5.14878       4.8425
       0.165      6.41601      5.71293       5.1551      4.85013
      0.1655      6.41167      5.71643      5.16139      4.85772
       0.166      6.41043      5.71989      5.16763      4.86528
      0.1665      6.40548      5.72321      5.17384      4.87281
       0.167      6.39989      5.72639      5.18001       4.8803
      0.1675      6.39618      5.72947      5.18613      4.88776
       0.168      6.39245      5.73247      5.19221      4.89518
      0.1685       6.3875      5.73534      5.19825      4.90257
       0.169      6.38316      5.73812      5.20424      4.90993
      0.1695       6.3782      5.74079      5.21018      4.91726
        0.17      6.37076       5.7433      5.21607      4.92454
      0.1705       6.3658      5.74571      5.22191       4.9318
       0.171      6.36022        5.748       5.2277      4.93901
      0.1715       6.3565      5.75024      5.23344      4.94619
       0.172      6.35526      5.75248      5.23913      4.95334
      0.1725      6.34968      5.75461      5.24477      4.96045
       0.173      6.34534      5.75667      5.25036      4.96752
      0.1735      6.34038      5.75864      5.25589      4.97455
       0.174      6.33728      5.76058      5.26138      4.98155
      0.1745      6.33232      5.76243      5.26681      4.98851
       0.175       6.3317      5.76432      5.27219      4.99542
      0.1755       6.3286      5.76616      5.27753       5.0023
       0.176      6.32488      5.76796      5.28281      5.00915
      0.1765      6.32116       5.7697      5.28805      5.01595
       0.177      6.32054      5.77147      5.29325      5.02271
      0.1775       6.3162      5.77318      5.29839      5.02944
       0.178       6.3069       5.7747      5.30349      5.03612
      0.1785      6.30504      5.77623      5.30854      5.04276
       0.179      6.30194      5.77773      5.31354      5.04937
      0.1795      6.29884       5.7792      5.31849      5.05593
        0.18      6.29574      5.78065       5.3234      5.06246
      0.1805       6.2945      5.78211      5.32826      5.06894
       0.181      6.29388      5.78361      5.33308      5.07538
      0.1815      6.29264      5.78511      5.33786      5.08178
       0.182      6.29326      5.78668       5.3426      5.08814
      0.1825      6.29202      5.78825       5.3473      5.09447
       0.183      6.29388       5.7899      5.35197      5.10075
      0.1835      6.29016      5.79149       5.3566      5.10699
       0.184      6.29326      5.79319       5.3612      5.11319
